"";"mandante";"visitante";"time"
"371";"JUV";"COR";"##------ Sun May 02 23:22:18 2021 ------##"
"372";"RED";"INT";"##------ Sun May 02 23:22:18 2021 ------##"
"373";"SPO";"ATH";"##------ Sun May 02 23:22:18 2021 ------##"
"374";"FOR";"BAH";"##------ Sun May 02 23:22:18 2021 ------##"
"375";"GRE";"ATL";"##------ Sun May 02 23:22:18 2021 ------##"
"376";"AME";"SAO";"##------ Sun May 02 23:22:18 2021 ------##"
"377";"SAN";"CUI";"##------ Sun May 02 23:22:18 2021 ------##"
"378";"PAL";"CEA";"##------ Sun May 02 23:22:18 2021 ------##"
"379";"FLU";"CHA";"##------ Sun May 02 23:22:18 2021 ------##"
"380";"ATL";"FLA";"##------ Sun May 02 23:22:18 2021 ------##"
