"";"mandante";"visitante";"time"
"85";"SPO";"PAL";"##------ Sun May 02 23:22:18 2021 ------##"
"86";"CEA";"JUV";"##------ Sun May 02 23:22:18 2021 ------##"
"87";"GRE";"ATL";"##------ Sun May 02 23:22:18 2021 ------##"
"88";"SAO";"RED";"##------ Sun May 02 23:22:18 2021 ------##"
"89";"COR";"INT";"##------ Sun May 02 23:22:18 2021 ------##"
"90";"FLA";"FLU";"##------ Sun May 02 23:22:18 2021 ------##"
"91";"SAN";"ATH";"##------ Sun May 02 23:22:18 2021 ------##"
"92";"PAL";"GRE";"##------ Sun May 02 23:22:18 2021 ------##"
"93";"FLU";"CEA";"##------ Sun May 02 23:22:18 2021 ------##"
"94";"INT";"SAO";"##------ Sun May 02 23:22:18 2021 ------##"
"95";"ATL";"FLA";"##------ Sun May 02 23:22:18 2021 ------##"
"96";"FOR";"AME";"##------ Sun May 02 23:22:18 2021 ------##"
"97";"BAH";"JUV";"##------ Sun May 02 23:22:18 2021 ------##"
"98";"ATL";"SPO";"##------ Sun May 02 23:22:18 2021 ------##"
"99";"CHA";"COR";"##------ Sun May 02 23:22:18 2021 ------##"
"100";"RED";"CUI";"##------ Sun May 02 23:22:18 2021 ------##"
"101";"ATH";"RED";"##------ Sun May 02 23:22:18 2021 ------##"
"102";"CUI";"CEA";"##------ Sun May 02 23:22:18 2021 ------##"
"103";"JUV";"ATL";"##------ Sun May 02 23:22:18 2021 ------##"
"104";"SPO";"FLU";"##------ Sun May 02 23:22:18 2021 ------##"
"105";"FOR";"COR";"##------ Sun May 02 23:22:18 2021 ------##"
"106";"GRE";"INT";"##------ Sun May 02 23:22:18 2021 ------##"
"107";"AME";"ATL";"##------ Sun May 02 23:22:18 2021 ------##"
"108";"SAO";"BAH";"##------ Sun May 02 23:22:18 2021 ------##"
"109";"PAL";"SAN";"##------ Sun May 02 23:22:18 2021 ------##"
"110";"FLA";"CHA";"##------ Sun May 02 23:22:18 2021 ------##"
"111";"BAH";"FLA";"##------ Sun May 02 23:22:18 2021 ------##"
"112";"CEA";"ATH";"##------ Sun May 02 23:22:18 2021 ------##"
"113";"INT";"JUV";"##------ Sun May 02 23:22:18 2021 ------##"
"114";"AME";"SPO";"##------ Sun May 02 23:22:18 2021 ------##"
"115";"SAO";"FOR";"##------ Sun May 02 23:22:18 2021 ------##"
"116";"COR";"ATL";"##------ Sun May 02 23:22:18 2021 ------##"
"117";"FLU";"GRE";"##------ Sun May 02 23:22:18 2021 ------##"
"118";"CHA";"CUI";"##------ Sun May 02 23:22:18 2021 ------##"
"119";"RED";"SAN";"##------ Sun May 02 23:22:18 2021 ------##"
"120";"ATL";"PAL";"##------ Sun May 02 23:22:18 2021 ------##"
"121";"FLA";"SAO";"##------ Sun May 02 23:22:18 2021 ------##"
"122";"CUI";"COR";"##------ Sun May 02 23:22:18 2021 ------##"
"123";"JUV";"CHA";"##------ Sun May 02 23:22:18 2021 ------##"
"124";"ATH";"INT";"##------ Sun May 02 23:22:18 2021 ------##"
"125";"SPO";"CEA";"##------ Sun May 02 23:22:18 2021 ------##"
"126";"FOR";"RED";"##------ Sun May 02 23:22:18 2021 ------##"
"127";"GRE";"AME";"##------ Sun May 02 23:22:18 2021 ------##"
"128";"ATL";"BAH";"##------ Sun May 02 23:22:18 2021 ------##"
"129";"SAN";"ATL";"##------ Sun May 02 23:22:18 2021 ------##"
"130";"PAL";"FLU";"##------ Sun May 02 23:22:18 2021 ------##"
"131";"COR";"FLA";"##------ Sun May 02 23:22:18 2021 ------##"
"132";"ATL";"AME";"##------ Sun May 02 23:22:18 2021 ------##"
"133";"CHA";"SAN";"##------ Sun May 02 23:22:18 2021 ------##"
"134";"RED";"GRE";"##------ Sun May 02 23:22:18 2021 ------##"
"135";"BAH";"SPO";"##------ Sun May 02 23:22:18 2021 ------##"
"136";"CEA";"FOR";"##------ Sun May 02 23:22:18 2021 ------##"
"137";"INT";"CUI";"##------ Sun May 02 23:22:18 2021 ------##"
"138";"ATL";"ATH";"##------ Sun May 02 23:22:18 2021 ------##"
"139";"SAO";"PAL";"##------ Sun May 02 23:22:18 2021 ------##"
"140";"FLU";"JUV";"##------ Sun May 02 23:22:18 2021 ------##"
"141";"CUI";"BAH";"##------ Sun May 02 23:22:18 2021 ------##"
"142";"JUV";"ATL";"##------ Sun May 02 23:22:18 2021 ------##"
"143";"ATH";"SAO";"##------ Sun May 02 23:22:18 2021 ------##"
"144";"SPO";"RED";"##------ Sun May 02 23:22:18 2021 ------##"
"145";"CEA";"ATL";"##------ Sun May 02 23:22:18 2021 ------##"
"146";"AME";"FLU";"##------ Sun May 02 23:22:18 2021 ------##"
"147";"GRE";"CHA";"##------ Sun May 02 23:22:18 2021 ------##"
"148";"SAN";"COR";"##------ Sun May 02 23:22:18 2021 ------##"
"149";"PAL";"FOR";"##------ Sun May 02 23:22:18 2021 ------##"
"150";"FLA";"INT";"##------ Sun May 02 23:22:18 2021 ------##"
"151";"FOR";"SAN";"##------ Sun May 02 23:22:18 2021 ------##"
"152";"CUI";"ATH";"##------ Sun May 02 23:22:18 2021 ------##"
"153";"CHA";"AME";"##------ Sun May 02 23:22:18 2021 ------##"
"154";"RED";"JUV";"##------ Sun May 02 23:22:18 2021 ------##"
"155";"BAH";"ATL";"##------ Sun May 02 23:22:18 2021 ------##"
"156";"INT";"FLU";"##------ Sun May 02 23:22:18 2021 ------##"
"157";"ATL";"PAL";"##------ Sun May 02 23:22:18 2021 ------##"
"158";"SAO";"GRE";"##------ Sun May 02 23:22:18 2021 ------##"
"159";"COR";"CEA";"##------ Sun May 02 23:22:18 2021 ------##"
"160";"FLA";"SPO";"##------ Sun May 02 23:22:18 2021 ------##"
"161";"GRE";"BAH";"##------ Sun May 02 23:22:18 2021 ------##"
"162";"AME";"RED";"##------ Sun May 02 23:22:18 2021 ------##"
"163";"SAN";"INT";"##------ Sun May 02 23:22:18 2021 ------##"
"164";"PAL";"CUI";"##------ Sun May 02 23:22:18 2021 ------##"
"165";"FLU";"ATL";"##------ Sun May 02 23:22:18 2021 ------##"
"166";"SPO";"SAO";"##------ Sun May 02 23:22:18 2021 ------##"
"167";"CEA";"FLA";"##------ Sun May 02 23:22:18 2021 ------##"
"168";"ATH";"COR";"##------ Sun May 02 23:22:18 2021 ------##"
"169";"JUV";"FOR";"##------ Sun May 02 23:22:18 2021 ------##"
"170";"ATL";"CHA";"##------ Sun May 02 23:22:18 2021 ------##"
"171";"ATL";"INT";"##------ Sun May 02 23:22:18 2021 ------##"
"172";"JUV";"SAO";"##------ Sun May 02 23:22:18 2021 ------##"
"173";"RED";"ATL";"##------ Sun May 02 23:22:18 2021 ------##"
"174";"SPO";"CHA";"##------ Sun May 02 23:22:18 2021 ------##"
"175";"FOR";"CUI";"##------ Sun May 02 23:22:18 2021 ------##"
"176";"GRE";"COR";"##------ Sun May 02 23:22:18 2021 ------##"
"177";"AME";"CEA";"##------ Sun May 02 23:22:18 2021 ------##"
"178";"SAN";"FLA";"##------ Sun May 02 23:22:18 2021 ------##"
"179";"PAL";"ATH";"##------ Sun May 02 23:22:18 2021 ------##"
"180";"FLU";"BAH";"##------ Sun May 02 23:22:18 2021 ------##"
"181";"CUI";"SAN";"##------ Sun May 02 23:22:18 2021 ------##"
"182";"CHA";"FLU";"##------ Sun May 02 23:22:18 2021 ------##"
"183";"ATH";"SPO";"##------ Sun May 02 23:22:18 2021 ------##"
"184";"BAH";"FOR";"##------ Sun May 02 23:22:18 2021 ------##"
"185";"CEA";"PAL";"##------ Sun May 02 23:22:18 2021 ------##"
"186";"INT";"RED";"##------ Sun May 02 23:22:18 2021 ------##"
"187";"ATL";"GRE";"##------ Sun May 02 23:22:18 2021 ------##"
"188";"SAO";"AME";"##------ Sun May 02 23:22:18 2021 ------##"
"189";"COR";"JUV";"##------ Sun May 02 23:22:18 2021 ------##"
"190";"FLA";"ATL";"##------ Sun May 02 23:22:18 2021 ------##"
"191";"ATL";"COR";"##------ Sun May 02 23:22:18 2021 ------##"
"192";"JUV";"CUI";"##------ Sun May 02 23:22:18 2021 ------##"
"193";"RED";"CHA";"##------ Sun May 02 23:22:18 2021 ------##"
"194";"SPO";"INT";"##------ Sun May 02 23:22:18 2021 ------##"
"195";"FOR";"ATL";"##------ Sun May 02 23:22:18 2021 ------##"
"196";"GRE";"CEA";"##------ Sun May 02 23:22:18 2021 ------##"
"197";"AME";"ATH";"##------ Sun May 02 23:22:18 2021 ------##"
"198";"PAL";"FLA";"##------ Sun May 02 23:22:18 2021 ------##"
"199";"SAN";"BAH";"##------ Sun May 02 23:22:18 2021 ------##"
"200";"FLU";"SAO";"##------ Sun May 02 23:22:18 2021 ------##"
"201";"ATL";"SPO";"##------ Sun May 02 23:22:18 2021 ------##"
"202";"CUI";"FLU";"##------ Sun May 02 23:22:18 2021 ------##"
"203";"CHA";"PAL";"##------ Sun May 02 23:22:18 2021 ------##"
"204";"ATH";"JUV";"##------ Sun May 02 23:22:18 2021 ------##"
"205";"BAH";"RED";"##------ Sun May 02 23:22:18 2021 ------##"
"206";"CEA";"SAN";"##------ Sun May 02 23:22:18 2021 ------##"
"207";"INT";"FOR";"##------ Sun May 02 23:22:18 2021 ------##"
"208";"SAO";"ATL";"##------ Sun May 02 23:22:18 2021 ------##"
"209";"COR";"AME";"##------ Sun May 02 23:22:18 2021 ------##"
"210";"FLA";"GRE";"##------ Sun May 02 23:22:18 2021 ------##"
"211";"SAO";"ATL";"##------ Sun May 02 23:22:18 2021 ------##"
"212";"COR";"PAL";"##------ Sun May 02 23:22:18 2021 ------##"
"213";"FLU";"RED";"##------ Sun May 02 23:22:18 2021 ------##"
"214";"INT";"BAH";"##------ Sun May 02 23:22:18 2021 ------##"
"215";"AME";"FLA";"##------ Sun May 02 23:22:18 2021 ------##"
"216";"CEA";"CHA";"##------ Sun May 02 23:22:18 2021 ------##"
"217";"SPO";"FOR";"##------ Sun May 02 23:22:18 2021 ------##"
"218";"ATL";"CUI";"##------ Sun May 02 23:22:18 2021 ------##"
"219";"JUV";"SAN";"##------ Sun May 02 23:22:18 2021 ------##"
"220";"ATH";"GRE";"##------ Sun May 02 23:22:18 2021 ------##"
"221";"RED";"COR";"##------ Sun May 02 23:22:18 2021 ------##"
"222";"CUI";"AME";"##------ Sun May 02 23:22:18 2021 ------##"
"223";"CHA";"SAO";"##------ Sun May 02 23:22:18 2021 ------##"
"224";"BAH";"CEA";"##------ Sun May 02 23:22:18 2021 ------##"
"225";"FOR";"ATL";"##------ Sun May 02 23:22:18 2021 ------##"
"226";"GRE";"SPO";"##------ Sun May 02 23:22:18 2021 ------##"
"227";"ATL";"INT";"##------ Sun May 02 23:22:18 2021 ------##"
"228";"SAN";"FLU";"##------ Sun May 02 23:22:18 2021 ------##"
"229";"PAL";"JUV";"##------ Sun May 02 23:22:18 2021 ------##"
"230";"FLA";"ATH";"##------ Sun May 02 23:22:18 2021 ------##"
