Região;Frota de Veículos;Frota de Veículos Perc;Operações PRF;Operações PRF Perc;Eleitores;Eleitores Perc;Votos PT 1Turno Od;Votos PT 1Turno Perc
Nordeste;19983602; 0,1762 ; 272 ; 0,4954 ;42000000; 0,2710 ;2,472;0,712
Centro-Oeste;10777084; 0,0950 ; 122 ; 0,2222 ;11500000; 0,0742 ;0,704;0,413
Norte;6223074; 0,0549 ; 59 ; 0,1075 ;12500000; 0,0806 ;1,013;0,503
Sudeste;54289897; 0,4787 ; 48 ; 0,0874 ;67000000; 0,4323 ;0,896;0,473
Sul;22133227; 0,1952 ; 48 ; 0,0874 ;22000000; 0,1419 ;0,674;0,403
