NU_ANO_CENSO;CO_IES;NO_IES;SG_IES;CO_MANTENEDORA;NO_MANTENEDORA;TP_CATEGORIA_ADMINISTRATIVA;TP_ORGANIZACAO_ACADEMICA;CO_MUNICIPIO;IN_CAPITAL;lat;long
2019;16525;FACULDADE DUARTE COELHO;FDC;15463;SEDESPE - SOCIEDADE EDUCACIONAL DE DESENVOLVIMENTO REGIONAL DE PERNAMBUCO LTDA. - ME;4;3;2614501;0;-7,84693;-35,74176
2019;20666;Faculdade ELO;FAELO;16466;CENTRO EDUCACIONAL E DESPORTIVO ELO LTDA. - ME;4;3;2611606;1;-8,16449;-34,90496
2019;1894;FACULDADE EUROPÉIA DE ADMINISTRAÇÃO E MARKETING;FEPAM;1245;ENSIGEST - BRASIL LTDA - EPP;4;3;2607901;0;-8,15873;-34,91215
2019;160;FACULDADE FRASSINETTI DO RECIFE;FAFIRE;116;CONGREGACAO DE SANTA DOROTEIA DO BRASIL;5;3;2611606;1;-8,05853;-34,88924
2019;21982;Faculdade Integrada CETE;FIC;16771;ESCOLA DE APERFEICOAMENTO PROFISSIONAL LTDA - ME;4;3;2606002;0;-8,88079;-36,48715
2019;18267;FACULDADE INTEGRADA DE GESTÃO E MEIO AMBIENTE;FACIGMA;15967;CENTRO TECNOLOGICO DE DESENVOLVIMENTO LTDA - ME;4;3;2611606;1;-8,04705;-34,88876
2019;19716;Faculdade Integral de Jaboatão dos Guararapes;FIJ;16214;SOCIEDADE DE EDUCACAO E TECNOLOGIA VIEIRA DE JABOATAO LTDA;4;3;2607901;0;-8,16176;-34,91632
2019;1383;FACULDADE JOSÉ LACERDA FILHO DE CIÊNCIAS APLICADAS;FAJOLCA;916;ASSOCIACAO VALE IPOJUCA DE EDUCACAO, CIENCIA E CULTURA;5;3;2607208;0;-8,39936;-35,06042
2019;19838;Faculdade Lusitana de Pernambuco;FALUP;1154;ORGANIZACAO PERNAMBUCANA DE EDUCACAO CIENCIA E CULTURA;5;3;2604007;0;-7,84283;-35,24596
2019;1749;FACULDADE LUSO-BRASILEIRA;FALUB;1154;ORGANIZACAO PERNAMBUCANA DE EDUCACAO CIENCIA E CULTURA;5;3;2604007;0;-7,84283;-35,24596
2019;22073;FACULDADE MACÊDO DE AMORIM;FAMAM;16812;AMORIM ENSINO TECNICO E SUPERIOR LTDA;4;3;2616407;0;-8,12293;-35,31137
2019;19369;Faculdade Martinho Lutero;FML;16215;SOCIEDADE DE EDUCACAO E TECNOLOGIA VIEIRA LTDA;4;3;2611606;1;-8,15692;-34,91245
2019;1675;FACULDADE METROPOLITANA DA GRANDE RECIFE;UNESJ;1100;UNIAO DAS ESCOLAS SUPERIORES DE JABOATAO-UNESJ;5;3;2607901;0;-8,16989;-34,9203
2019;19465;Faculdade Metropolitana de Petrolina;FAM;16235;SOEPE SOCIEDADE DE EDUCACAO DE PETROLINA LTDA - EPP;4;3;2611101;0;-9,39123;-40,51127
2019;19197;FACULDADE NIP DE CIÊNCIAS APLICADAS;FANIP;16188;SOCIEDADE FANIP DE EMPREENDIMENTOS EDUCACIONAIS;5;3;2611606;1;-8,05282;-34,88075
2019;4700;FACULDADE NOVA ROMA;FNR;2994;CENTRO BRASILEIRO DE PROFISSIONALIZACAO EMPRESARIAL LTDA;4;3;2611606;1;-8,05842;-34,90211
2019;20975;FACULDADE NOVO HORIZONTE;FNH;16517;INESP- INSTITUTO NACIONAL DE ENSINO, SOCIEDADE E PESQUISA;5;3;2616407;0;-8,11762;-35,29718
2019;3615;FACULDADE PERNAMBUCANA DE SAÚDE;FPS;2291;ASSOCIACAO EDUCACIONAL DE CIENCIAS DA SAUDE - AECISA;5;3;2611606;1;-8,12752;-34,91504
2019;21691;Faculdade Pitágoras Belo Jardim;;14514;EDITORA E DISTRIBUIDORA EDUCACIONAL S/A;4;3;2601706;0;-8,33437;-36,42269
2019;19791;Faculdade Pitágoras de Jaboatão dos Guararapes;;14514;EDITORA E DISTRIBUIDORA EDUCACIONAL S/A;4;3;2607901;0;-8,20273;-34,91922
2019;1454;FACULDADE SALESIANA DO NORDESTE;FASNE;968;INSTITUTO SALESIANO SAGRADO CORACAO;5;3;2611606;1;-8,0607;-34,89294
2019;3585;FACULDADE SANTA CRUZ;FACRUZ;2271;CESAC CENTRO DE ENSINO SUPERIOR SANTA CRUZ LTDA - EPP;4;3;2612505;0;-7,94578;-36,2095
2019;1384;FACULDADE SANTA HELENA;FSH;917;ASSOCIACAO SECULO XXI DE EDUCACAO CIENCIA E CULTURA;5;3;2611606;1;-8,05203;-34,91692
2019;19607;FACULDADE SANTISSIMA TRINDADE;FAST;16289;CENTRO DE ENSINO SUPERIOR SANTISSIMA TRINDADE LIMITADA - ME;4;3;2609501;0;-7,74039;-35,22304
2019;3996;FACULDADE SENAC PERNAMBUCO;SENACPE;2517;SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL SENAC;5;3;2611606;1;-8,05232;-34,88529
2019;20106;FACULDADE STBNB;;16337;SEMINARIO TEOLOGICO BATISTA DO NORTE DO BRASIL;5;3;2611606;1;-8,0538;-34,89395
2019;19565;Faculdade Tecnológica de Pernambuco;FATEPE;16264;FATEPE - FACULDADE TECNOLOGICA DE PERNAMBUCO LTDA;4;3;2609600;0;-8,05856;-34,89278
2019;22514;FACULDADE TIRADENTES DE JABOATÃO DOS GUARARAPES;;274;SOCIEDADE DE EDUCACAO TIRADENTES LTDA;4;3;2607901;0;-8,16809;-34,92099
2019;10588;FACULDADE UNINABUCO SÃO LOURENÇO DA MATA;;2874;ASSOCIACAO DE ENSINO SUPERIOR ANGLO LIDER - AESAL;5;3;2613701;0;-7,99346;-35,0409
2019;18211;FACULDADE UNINASSAU CABO;;1847;SER EDUCACIONAL S.A.;4;3;2602902;0;-8,28944;-35,04413
2019;14717;FACULDADE UNINASSAU CARUARU;;1847;SER EDUCACIONAL S.A.;4;3;2604106;0;-8,30238;-35,99108
2019;18653;Faculdade Uninassau Garanhuns;Nassau Garanhuns;1847;SER EDUCACIONAL S.A.;4;3;2606002;0;-8,88703;-36,48158
2019;18075;FACULDADE UNINASSAU JABOATÃO DOS GUARARAPES;UNINASSAU;1847;SER EDUCACIONAL S.A.;4;3;2607901;0;-8,17847;-34,9199
2019;4742;Faculdade Uninassau Olinda - Nassau Olinda;UNINASSAU;1847;SER EDUCACIONAL S.A.;5;3;2609600;0;-7,9928;-34,83968
2019;18023;FACULDADE UNINASSAU PETROLINA;UNINASSAU;1847;SER EDUCACIONAL S.A.;4;3;2611101;0;-9,39633;-40,51261
2019;22075;FACULDADE VALE DO PAJEU;FVP;16816;FACULDADE VALE DO PAJEU LTDA - EPP;4;3;2613602;0;-7,45577;-37,271
2019;4420;FACULDADES INTEGRADAS BARROS MELO;FIBAM;276;AESO-ENSINO SUPERIOR DE OLINDA LTDA;4;3;2609600;0;-8,00522;-34,87468
2019;701;FACULDADES INTEGRADAS DE GARANHUNS;FACIGA;466;AUTARQUIA DO ENSINO SUPERIOR DE GARANHUNS AESGA;7;3;2606002;0;-8,87992;-36,48563
2019;405;FOCCA - FACULDADE DE OLINDA;FOCCA;280;ASSOCIACAO OLINDENSE DOM VITAL DE ENSINO SUPERIOR;5;3;2609600;0;-8,01601;-34,84929
2019;3984;FUNDAÇÃO UNIVERSIDADE FEDERAL DO VALE DO SÃO FRANCISCO;UNIVASF;14107;FUNDACAO UNIVERSIDADE FEDERAL DO VALE DO SAO FRANCISCO;1;1;2611101;0;-9,39227;-40,49638
2019;2566;INSTITUTO DE ENSINO SUPERIOR DE OLINDA;IESO;1125;APESU ENSINO SUPERIOR DE PERNAMBUCO S/S LTDA.;4;3;2609600;0;-8,01918;-34,8505
2019;1992;INSTITUTO DE ENSINO SUPERIOR DE PIEDADE;IESP;1125;APESU ENSINO SUPERIOR DE PERNAMBUCO S/S LTDA.;4;3;2607901;0;-8,17829;-34,92
2019;1809;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE PERNAMBUCO;IFPE;16120;INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE PERNAMBUCO;1;4;2611606;1;-8,05927;-34,95054
2019;1809;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE PERNAMBUCO - ABREU E LIMA;IFPE-ABREU E LIMA;16120;INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE PERNAMBUCO;1;4;2600054;1;-7,91265;-34,89776
2019;3161;Instituto Federal de Educação, Ciência e Tecnologia do Sertão Pernambucano - Petrolina;IF Sertão;16656;INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO SERTAO PERNAMBUCANO;1;4;2611101;0;-9,39806;-40,49566
2019;1708;INSTITUTO PERNAMBUCANO DE ENSINO SUPERIOR;IPESU;1125;APESU ENSINO SUPERIOR DE PERNAMBUCO S/S LTDA.;4;3;2611606;1;-8,07924;-34,90816
2019;3584;INSTITUTO SUPERIOR DE EDUCAÇÃO SANTA CRUZ;ISED;2271;CESAC CENTRO DE ENSINO SUPERIOR SANTA CRUZ LTDA - EPP;4;3;2612505;0;-7,94592;-36,20943
2019;18896;Soberana Faculdade de Saúde de Petrolina;SOBERANA;16148;SOBERANA FACULDADE DE SAUDE DE PETROLINA LTDA - EPP;4;3;2611101;0;-9,3902;-40,52081
2019;11;UNIVERSIDADE CATÓLICA DE PERNAMBUCO;UNICAP;11;CENTRO DE EDUCACAO TECNICA E CULTURAL;5;1;2611606;1;-8,05471;-34,88772
2019;409;UNIVERSIDADE DE PERNAMBUCO;UPE;283;FUNDACAO UNIVERSIDADE DE PERNAMBUCO;2;1;2611606;1;-8,04382;-34,88605
2019;580;UNIVERSIDADE FEDERAL DE PERNAMBUCO;UFPE;15538;UNIVERSIDADE FEDERAL DE PERNAMBUCO;1;1;2611606;1;-8,05155;-34,95068
2019;580;UNIVERSIDADE FEDERAL DE PERNAMBUCO - CAA;UFPE-CAA;15538;UNIVERSIDADE FEDERAL DE PERNAMBUCO;1;1;2604106;0;-8,22561;-35,98151
2019;587;UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO;UFRPE;15599;UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO;1;1;2611606;1;-8,01721;-34,94926
2019;580;UNIVERSIDADE FEDERAL DE PERNAMBUCO - CAV;UFPE-CAV;15538;UNIVERSIDADE FEDERAL DE PERNAMBUCO;1;1;2616407;0;-8,11647;-35,29872
2019;409;UNIVERSIDADE DE PERNAMBUCO - CARUARU;UPE-CARUARU;283;FUNDACAO UNIVERSIDADE DE PERNAMBUCO;2;1;2604106;0;-8,23898;-35,98174
2019;409;UNIVERSIDADE DE PERNAMBUCO - ARCOVERDE;UPE-ARCOVERDE;283;FUNDACAO UNIVERSIDADE DE PERNAMBUCO;2;1;2601201;0;-8,40364;-37,06223
2019;409;UNIVERSIDADE DE PERNAMBUCO - CAMARAGIBE;UPE-CAMARAGIBE;283;FUNDACAO UNIVERSIDADE DE PERNAMBUCO;2;1;2603454;0;-7,99985;-34,97033
2019;409;UNIVERSIDADE DE PERNAMBUCO - GARANHUNS;UPE-GARANHUNS;283;FUNDACAO UNIVERSIDADE DE PERNAMBUCO;2;1;2606002;0;-8,88403;-36,49643
2019;409;UNIVERSIDADE DE PERNAMBUCO - MATA NORTE;UPE-MATA NORTE;283;FUNDACAO UNIVERSIDADE DE PERNAMBUCO;2;1;2609501;0;-7,7469;-35,22263
2019;409;UNIVERSIDADE DE PERNAMBUCO - MATA SUL;UPE-MATA SUL;283;FUNDACAO UNIVERSIDADE DE PERNAMBUCO;2;1;2610004;0;-8,67593;-35,57722
2019;409;UNIVERSIDADE DE PERNAMBUCO - SALGUEIRO;UPE-SALGUEIRO;283;FUNDACAO UNIVERSIDADE DE PERNAMBUCO;2;1;2612208;0;-8,05747;-39,10714
2019;409;UNIVERSIDADE DE PERNAMBUCO - PETROLINA;UPE-PETROLINA;283;FUNDACAO UNIVERSIDADE DE PERNAMBUCO;2;1;2611101;0;-9,39725;-40,47915
2019;409;UNIVERSIDADE DE PERNAMBUCO - SERRA TALHADA;UPE-SERRA TALHADA;283;FUNDACAO UNIVERSIDADE DE PERNAMBUCO;2;1;2613909;0;-7,95541;-38,29397
2019;3161;Instituto Federal de Educação, Ciência e Tecnologia do Sertão Pernambucano - Serra Talhada;IF Sertão;16656;INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO SERTAO PERNAMBUCANO;1;4;2613909;0;-7,98377;-38,2549
2019;3161;Instituto Federal de Educação, Ciência e Tecnologia do Sertão Pernambucano - Petrolina (Rural);IF Sertão;16656;INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO SERTAO PERNAMBUCANO;1;4;2611101;0;-9,33178;-40,68642
2019;3161;Instituto Federal de Educação, Ciência e Tecnologia do Sertão Pernambucano - Floresta;IF Sertão;16656;INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO SERTAO PERNAMBUCANO;1;4;2605707;0;-8,59651;-38,5741
2019;3161;Instituto Federal de Educação, Ciência e Tecnologia do Sertão Pernambucano - Salgueiro;IF Sertão;16656;INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO SERTAO PERNAMBUCANO;1;4;2612208;0;-8,05756;-39,09525
2019;3161;Instituto Federal de Educação, Ciência e Tecnologia do Sertão Pernambucano - Ouricuri;IF Sertão;16656;INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO SERTAO PERNAMBUCANO;1;4;2609907;0;-7,88528;-40,09962
2019;3161;Instituto Federal de Educação, Ciência e Tecnologia do Sertão Pernambucano - Santa Maria;IF Sertão;16656;INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO SERTAO PERNAMBUCANO;1;4;2612604;0;-8,77103;-39,88203
