"";"data";"hora";"natureza_acidente";"situacao";"bairro";"endereco";"numero";"detalhe_endereco_acidente";"complemento";"bairro_cruzamento";"num_semaforo";"sentido_via";"tipo";"auto";"moto";"ciclom";"ciclista";"pedestre";"onibus";"caminhao";"viatura";"outros";"vitimas";"vitimasfatais";"acidente_verificado";"tempo_clima";"situacao_semaforo";"sinalizacao";"condicao_via";"conservacao_via";"ponto_controle";"situacao_placa";"velocidade_max_via";"mao_direcao";"divisao_via1";"divisao_via2";"divisao_via3"
"1708";2020-02-23;"16:05:00";"SEM VÍTIMA";"FINALIZADA";"AFLITOS";"RUA QUARENTA E OITO";"815";"RUA CARNEIRO VILELA";"RESTAURANTE SABOR RANCHO/ SQUINA 48";"AFLITOS";NA;"CIDADE";"ABALROAMENTO TRANSVERSAL";2;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"Cruzamento";"Bom";"Não existe";"Perfeito estado";"Seca";"Perfeito estado";"Não existe";"R-6a";"";"Única";"Faixa contínua";"";""
"1709";2020-02-23;"18:15:00";"SEM VÍTIMA";"CANCELADA";"PINA";"VIADUTO CAPITAO TEMUDO";"";"";"POR CIMA DO VIADUTO- E/F AO SHOPPING RIO MAR";"PINA";NA;"";"COLISÃO";2;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";""
"1710";2020-02-23;"19:07:00";"SEM VÍTIMA";"CANCELADA";"SANTO ANTÔNIO";"RUA SIQUEIRA CAMPOS";"150";"";"E/F AO CARTORIO PAULO GUERRA";"SANTO ANTÔNIO";NA;"";"COLISÃO";2;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";""
"1711";2020-02-23;"19:22:00";"COM VÍTIMA";"FINALIZADA";"SANTO ANTÔNIO";"RUA NOVA";"";"AV DANTAS BARRETO";"ENF. MARIZA E FARMACIA DEPENDENTE";"SANTO ANTÔNIO";NA;"CIDADE";"ATROPELAMENTO";NA;"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"Longo da via";"Bom";"Não existe";"Ilegível";"Seca";"Mal iluminada";"Não existe";"Não há placas";"";"Única";"Não existe";"";""
"1712";2020-02-23;"20:08:00";"SEM VÍTIMA";"FINALIZADA";"JOANA BEZERRA";"VIADUTO CAPITAO TEMUDO";"";"";"FORUM DES. RODOLFO AURELIANO";"JOANA BEZERRA";NA;"SUBURBIO";"ABALROAMENTO LONGITUDINAL";2;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"Viaduto";"Bom";"Não existe";"Perfeito estado";"Seca";"Perfeito estado";"Não existe";"Não há placas";"60 km/h";"Dupla";"Canteiro central";"";""
"1713";2020-02-23;"22:08:00";"SEM VÍTIMA";"CANCELADA";"SANTO ANTÔNIO";"RUA IMPERADOR PEDRO SEGUNDO";"362";"";"E/F A ESCOLA DE SAÚDE REAL PORTUGUÊS / PRÓX AO CAIS DO APOLO";"SANTO ANTÔNIO";NA;"";"COLISÃO";1;"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";""
"1714";2020-02-23;"22:51:00";"SEM VÍTIMA";"CANCELADA";"PINA";"AV ANTONIO DE GOES";"218";"";"POSTO DE GASOLINA PETROCAL PINA";"PINA";NA;"";"COLISÃO";2;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";""
"1715";2020-02-24;"01:30:00";"SEM VÍTIMA";"FINALIZADA";"PINA";"AV HERCULANO BANDEIRA";"";"RUA ARQUITETO AUGUSTO REINALDO";"";"PINA";"660";"SUBURBIO";"ABALROAMENTO LONGITUDINAL";2;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"Cruzamento";"Bom";"Sem defeito";"Não existente";"Seca";"Mal iluminada";"Faixa de pedestre";"Não há placas";"60 km/h";"Única";"Faixa seccionada";"";""
"1716";2020-02-24;"03:40:00";"SEM VÍTIMA";"FINALIZADA";"BOA VIAGEM";"RUA DEZ DE JULHO";"";"";"DENTRO DO TERMINAL INTEGRADO DO AEROPORTO";"BOA VIAGEM";NA;"CIDADE";"CHOQUE OBJETO FIXO";1;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"Bom";"Não existe";"Perfeito estado";"Seca";"Perfeito estado";"";"";"";"Única";"";"";""
"1717";2020-02-24;"04:06:00";"COM VÍTIMA";"FINALIZADA";"BOA VIAGEM";"AVENIDA CELSO FURTADO (VIA MANGUE)";"";"";"PRIMEIRO RETORNO APOS O SUPERMERCADO EXTRA- SENT. BOA VIAGEM";"BOA VIAGEM";NA;"SUBURBIO";"CHOQUE OBJETO FIXO";1;"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"Longo da via";"Bom";"Não existe";"Perfeito estado";"Seca";"Perfeito estado";"Não existe";"Não há placas";"";"Dupla";"Faixa";"";""
