"";"ano";"cod_municipio";"rd";"nm_municipio";"gre";"cod_escola";"nm_escola";"tp_escola";"p_em";"nota_lp";"nota_mt";"nota_saep";"idepe";"mat_3em";"tdi_3em";"TP_LOCALIZACAO";"IN_INTERNET";"IN_NOTURNO";"IN_EJA";"QT_MAT_BAS";"QT_MAT_MED_INT";"QT_MAT_BAS_FEM";"QT_MAT_BAS_MASC";"QT_MAT_BAS_BRANCA";"TX_MAT_MED_INT";"tratamento"
"1054";2009;2611606;"Metropolitana Recife";"Recife";"Recife Sul";26124653;"ESCOLA LAGOA ENCANTADA";"REGULAR";"0,65";"4,08";"3,88";"3,98";"2,59";NA;"58";"Urbana";1;1;1;1498;0;783;715;114;"0";0
"1055";2008;2611606;"Metropolitana Recife";"Recife";"Recife Sul";26124670;"ESCOLA MARECHAL EURICO GASPAR DUTRA";"REGULAR";"0,53";"3,69";"3,65";"3,67";"1,95";NA;"73,4";"Urbana";1;1;0;1856;0;1011;845;63;"0";0
"1056";2009;2611606;"Metropolitana Recife";"Recife";"Recife Sul";26124670;"ESCOLA MARECHAL EURICO GASPAR DUTRA";"REGULAR";"0,65";"3,59";"3,55";"3,57";"2,32";NA;"68,6";"Urbana";1;1;0;2042;0;1101;941;118;"0";0
"1057";2008;2611606;"Metropolitana Recife";"Recife";"Recife Sul";26124696;"ESC.MARIA RITA DA SILVA LESSA";"REGULAR";"0,73";"3,56";"3,49";"3,52";"2,57";NA;"38";"Urbana";1;1;0;1049;0;555;494;19;"0";0
"1058";2009;2611606;"Metropolitana Recife";"Recife";"Recife Sul";26124696;"ESC.MARIA RITA DA SILVA LESSA";"REGULAR";"0,65";"3,91";"3,95";"3,93";"2,55";NA;"61,5";"Urbana";1;1;1;1284;0;675;609;99;"0";0
"1059";2008;2611606;"Metropolitana Recife";"Recife";"Recife Sul";26124807;"ESC PROF JOSE VICENTE BARBOSA";"REGULAR";"0,75";"3,63";"3,65";"3,64";"2,72";NA;"61,2";"Urbana";1;1;1;1542;0;817;725;52;"0";0
"1060";2009;2611606;"Metropolitana Recife";"Recife";"Recife Sul";26124807;"ESC PROF JOSE VICENTE BARBOSA";"REGULAR";"0,74";"3,96";"4,06";"4,01";"2,96";NA;"51,2";"Urbana";1;1;1;1658;0;877;781;181;"0";0
"1061";2008;2611606;"Metropolitana Recife";"Recife";"Recife Sul";26124831;"ESCOLA PROF JORDAO EMERENCIANO";"REGULAR";"0,68";"3,32";"3,67";"3,5";"2,37";NA;"72,8";"Urbana";1;1;1;3537;0;1667;1870;93;"0";0
"1062";2009;2611606;"Metropolitana Recife";"Recife";"Recife Sul";26124831;"ESCOLA PROF JORDAO EMERENCIANO";"REGULAR";"0,65";"3,52";"3,68";"3,6";"2,34";NA;"67,9";"Urbana";1;1;1;3991;0;1957;2034;184;"0";0
"1063";2008;2611606;"Metropolitana Recife";"Recife";"Recife Sul";26124874;"ESCOLA MISSIONARIO SAO BENTO";"REGULAR";"0,44";"3,66";"3,51";"3,58";"1,57";NA;"62";"Urbana";1;1;1;1728;0;836;892;36;"0";0
