"";"ano";"cod_municipio";"rd";"nm_municipio";"gre";"cod_escola";"nm_escola";"tp_escola";"p_em";"nota_lp";"nota_mt";"nota_saep";"idepe_2015";"tdi_3em";"TP_LOCALIZACAO";"IN_INTERNET";"IN_NOTURNO";"IN_EJA";"QT_MAT_BAS";"QT_MAT_BAS_FEM";"QT_MAT_BAS_MASC";"QT_MAT_BAS_BRANCA";"tratamento";"idepe_2014"
"686";2015;2611101;"Sertão do São Francisco";"Petrolina";"Sertão do Médio São Francisco";26178095;"ESCOLA DE REFERENCIA EM ENSINO MEDIO CLEMENTINO COELHO";"INTEGRAL";0,94;5,49;5,42;5,45;5,12;3;"Urbana";1;0;0;747;461;286;91;0;5,31
"687";2015;2615300;"Mata Norte";"Timbaúba";"Mata Norte";26178176;"ESCOLA DE REFERENCIA EM ENSINO MEDIO DE TIMBAUBA";"INTEGRAL";0,96;6,12;6,09;6,1;5,85;4,2;"Urbana";1;1;1;731;413;318;172;0;5,41
"688";2015;2613909;"Sertão do Pajeú";"Serra Talhada";"Sertão do Alto Pajeú";26178192;"ESCOLA DE REFERENCIA EM ENSINO MEDIO PROF ADAUTO CARVALHO";"INTEGRAL";0,94;5,91;6,44;6,18;5,82;1,2;"Urbana";1;0;0;554;339;215;94;0;5,23
"689";2015;2610004;"Mata Sul";"Palmares";"Mata Sul";26178222;"ESCOLA DE REFERENCIA EM ENSINO MEDIO DOS PALMARES";"INTEGRAL";0,87;5,33;5,1;5,22;4,56;4,1;"Urbana";1;0;0;536;309;227;139;0;4,87
"690";2015;2600054;"Metropolitana Recife";"Abreu e Lima";"Metropolitana Norte";26178435;"ESCOLA DE REFERENCIA EM ENSINO MEDIO MARIA VIEIRA MULITERNO";"INTEGRAL";0,98;4,96;4,79;4,87;4,8;6,7;"Urbana";1;0;0;728;434;294;106;0;4,84
"691";2015;2610202;"Agreste Central";"Panelas";"Agreste Centro Norte";26178656;"ESCOLA DE REFERENCIA EM ENSINO MEDIO DE PANELAS";"INTEGRAL";0,93;5,59;6,11;5,85;5,42;4,7;"Urbana";1;0;0;519;332;187;167;0;5,15
"692";2015;2601201;"Sertão do Moxotó";"Arcoverde";"Sertão do Moxotó-Ipanema";26178699;"ESCOLA DE REFERENCIA EM ENSINO MEDIO DE ARCOVERDE";"INTEGRAL";0,93;5,21;4,74;4,97;4,64;8,5;"Urbana";1;0;0;755;440;315;74;0;4,6
"693";2015;2606002;"Agreste Meridional";"Garanhuns";"Agreste Meridional";26178702;"ESCOLA DE REFERENCIA EM ENSINO MEDIO DE GARANHUNS";"INTEGRAL";0,96;5,43;5,08;5,25;5,07;8,2;"Urbana";1;0;0;400;242;158;126;0;5,36
"694";2015;2601102;"Sertão do Araripe";"Araripina";"Sertão do Araripe";26179474;"ESCOLA DE REFERENCIA EM ENSINO MEDIO JOSIAS INOJOSA DE OLIVEIRA";"INTEGRAL";0,82;5,27;5,76;5,52;4,55;10,9;"Urbana";1;0;0;474;293;181;89;0;4,87
"695";2015;2611606;"Metropolitana Recife";"Recife";"Recife Norte";26179610;"ESCOLA DE REFERENCIA EM ENSINO MEDIO NOBREGA";"INTEGRAL";0,92;5,49;5,48;5,49;5,05;9,8;"Urbana";1;0;0;510;314;196;60;0;4,4
