org_academica;idade;sexo;turno;nota;QE_I02;QE_I04;QE_I05;QE_I08;QE_I09;QE_I15;QE_I17;QE_I21
Centro Universitário;35;M;Integral;52,7;A;D;F;F;D;A;B;A
Centro Universitário;33;M;Integral;31,4;D;E;D;F;B;A;B;A
Centro Universitário;28;M;Integral;34,2;D;D;E;D;D;A;B;A
Centro Universitário;24;F;Integral;44,4;A;E;E;C;C;A;B;A
Centro Universitário;26;M;Integral;26,8;A;D;E;D;E;A;B;A
Centro Universitário;24;F;Integral;37,3;D;E;E;E;C;A;B;A
Centro Universitário;25;M;Integral;48,8;A;D;E;C;B;A;B;A
Centro Universitário;26;M;Integral;53,9;D;B;D;B;C;A;B;B
Centro Universitário;27;F;Integral;38,5;D;D;D;A;C;D;A;A
Centro Universitário;25;F;Integral;28,2;D;D;D;C;C;A;E;A
Centro Universitário;32;M;Integral;64,9;A;F;E;E;C;A;B;A
Centro Universitário;33;M;Integral;21,5;B;A;B;B;D;D;A;B
Centro Universitário;29;M;Integral;47,8;A;D;E;F;C;A;B;A
Centro Universitário;23;F;Integral;29,7;A;E;C;E;D;A;E;A
Centro Universitário;25;F;Integral;34,9;D;B;F;A;A;A;E;A
Centro Universitário;25;M;Integral;30,8;B;D;D;C;C;A;B;A
Centro Universitário;22;M;Integral;47,7;A;E;B;A;C;D;B;B
Centro Universitário;25;F;Integral;37,5;A;D;F;F;D;A;B;A
Centro Universitário;35;M;Integral;21,3;D;B;E;E;E;A;A;A
Centro Universitário;30;M;Integral;49,3;B;D;F;C;D;D;A;A
Centro Universitário;27;F;Integral;33,5;D;C;D;B;E;C;A;A
Centro Universitário;30;F;Integral;49,4;D;D;B;B;E;A;B;B
Centro Universitário;32;M;Integral;24,3;A;D;D;E;D;A;B;A
Centro Universitário;25;M;Integral;31,1;A;E;E;C;C;A;B;A
Centro Universitário;28;M;Integral;23,6;D;E;E;A;F;C;B;A
Centro Universitário;23;F;Integral;24,8;A;C;E;B;D;A;B;A
Centro Universitário;37;M;Integral;36,7;D;E;E;D;E;A;A;B
Centro Universitário;27;M;Integral;29,7;D;C;B;D;C;A;A;A
Centro Universitário;21;M;Integral;44,9;A;B;F;A;A;A;A;A
Centro Universitário;34;F;Integral;13,6;A;D;D;B;D;A;B;A
Centro Universitário;22;F;Integral;46,3;A;D;F;D;E;A;B;A
Centro Universitário;36;M;Integral;34;D;B;B;C;F;A;A;A
Centro Universitário;23;F;Integral;37,2;A;B;E;B;C;A;B;A
Centro Universitário;27;F;Integral;31,1;D;C;C;B;B;A;B;A
Centro Universitário;27;M;Integral;61,8;D;D;F;E;B;D;A;A
Centro Universitário;29;F;Integral;42;D;E;D;A;B;A;B;A
Centro Universitário;28;M;Integral;50,6;A;F;E;F;C;A;B;A
Centro Universitário;25;F;Integral;34,6;D;D;D;B;B;A;B;A
Centro Universitário;28;F;Integral;43,4;A;E;E;C;B;A;A;A
Centro Universitário;25;M;Integral;45,6;A;E;E;G;D;A;B;A
Centro Universitário;22;F;Integral;47;F;D;C;D;B;A;B;A
Centro Universitário;27;M;Integral;41,1;A;E;E;E;E;A;B;A
Centro Universitário;25;M;Integral;38,1;A;E;F;F;B;A;B;A
Centro Universitário;25;M;Integral;46;A;D;D;E;D;A;B;A
Centro Universitário;26;M;Integral;37,9;D;D;D;C;C;A;B;A
Centro Universitário;23;F;Integral;41,5;A;D;F;E;E;D;B;A
Centro Universitário;25;F;Integral;66,3;A;D;F;F;D;A;B;A
Centro Universitário;22;F;Integral;26;D;C;D;B;A;D;A;A
Centro Universitário;46;M;Integral;42,8;A;B;A;D;F;A;A;B
Centro Universitário;23;F;Integral;29,2;F;F;E;G;C;A;B;A
Centro Universitário;26;F;Integral;27,5;B;D;F;B;B;E;A;A
Centro Universitário;44;M;Integral;61,4;C;E;E;C;F;D;A;A
Universidade;26;M;Integral;12;E;E;E;F;D;A;B;A
Universidade;22;M;Integral;59,6;A;E;E;G;C;A;B;A
Universidade;24;F;Integral;65,1;A;E;F;F;C;A;B;A
Universidade;23;M;Integral;57,1;D;E;E;G;C;A;B;A
Universidade;26;M;Integral;67,7;A;D;E;F;B;A;B;A
Universidade;23;F;Integral;85,3;A;E;E;F;C;A;B;A
Universidade;24;F;Integral;53,4;F;F;F;G;B;A;F;A
Universidade;24;F;Integral;72,8;D;E;D;B;F;A;B;A
Universidade;24;F;Integral;67,5;A;E;F;F;C;A;B;A
Universidade;26;M;Integral;62,9;B;D;C;B;E;A;A;B
Universidade;21;F;Integral;71,1;B;C;D;C;C;E;A;B
Universidade;22;M;Integral;76,1;A;E;E;F;C;A;B;A
Universidade;26;M;Integral;73,5;A;E;D;D;B;A;B;A
Universidade;26;M;Integral;59,4;A;E;E;F;C;A;B;A
Universidade;23;F;Integral;50,6;A;D;F;F;B;A;B;A
Universidade;23;F;Integral;59,4;D;D;D;B;E;A;B;A
Universidade;23;F;Integral;57;A;E;E;E;C;A;B;A
Universidade;23;M;Integral;63,4;A;F;F;G;C;A;B;A
Universidade;22;M;Integral;71,6;A;F;F;F;C;A;B;A
Universidade;26;M;Integral;75,4;D;D;E;E;D;A;B;A
Universidade;23;F;Integral;50,3;A;E;F;E;C;A;B;A
Universidade;24;M;Integral;61,9;C;F;D;G;C;A;B;A
Universidade;24;M;Integral;71,4;D;E;F;C;B;D;A;A
Universidade;23;M;Integral;67,2;A;F;F;F;C;A;B;A
Universidade;25;M;Integral;49;A;D;D;D;B;D;A;A
Universidade;26;M;Integral;53,8;B;C;D;D;B;A;E;B
Universidade;22;F;Integral;32,9;A;E;E;F;B;A;B;A
Universidade;26;F;Integral;61,8;D;D;D;C;C;A;B;A
Universidade;23;F;Integral;44,9;A;D;E;G;C;A;F;A
Universidade;23;F;Integral;57,2;A;D;D;E;B;D;A;A
Universidade;24;F;Integral;61,5;A;E;F;F;D;A;B;A
Universidade;23;M;Integral;74;D;F;E;E;B;A;B;A
Universidade;23;M;Integral;71,8;F;D;E;C;B;E;A;A
Universidade;24;M;Integral;55,9;A;E;E;F;C;A;B;A
Universidade;24;M;Integral;67;D;D;D;A;A;E;A;B
Universidade;23;F;Integral;43,2;A;F;E;F;B;D;A;A
Universidade;24;M;Integral;51,8;D;F;D;D;C;A;B;A
Universidade;23;F;Integral;72,9;A;E;F;F;C;A;B;A
Universidade;24;M;Integral;52,7;A;F;E;D;C;A;B;A
Universidade;22;F;Integral;67,5;A;D;D;B;B;D;A;B
Universidade;22;M;Integral;39,4;D;E;D;F;D;A;B;A
Universidade;28;M;Integral;63,9;F;E;E;B;C;A;B;A
Universidade;25;F;Integral;18;D;D;C;C;C;D;A;B
Universidade;22;F;Integral;61,5;D;F;D;F;B;A;B;A
Universidade;26;M;Integral;35,1;A;D;D;B;B;A;A;A
Universidade;22;M;Integral;68,1;A;F;E;G;C;A;B;A
Universidade;22;M;Integral;68,4;A;D;D;B;B;D;D;A
Universidade;23;F;Integral;64,6;A;F;F;G;C;A;B;A
Universidade;25;M;Integral;27,3;A;D;D;A;B;A;B;B
Universidade;26;F;Integral;70,5;D;E;F;E;C;A;B;A
Universidade;29;F;Noturno;53;E;B;D;E;E;A;E;A
Universidade;28;M;Noturno;40,2;A;D;D;C;E;A;E;B
Universidade;30;M;Noturno;39,9;D;A;C;C;E;A;A;A
Universidade;46;M;Noturno;27,3;A;D;E;D;E;A;A;A
