ano;id;tipo;nota;TDI_EM;TDI_01;TDI_02;TDI_03;MHA_EM;MHA_01;MHA_02;MHA_03
2018;26075768;Regular;504,8162162;28,2;38,7;22,3;19,8;4,4;4,4;4,4;4,3
2018;26075903;EREM;509,0852941;19,8;22,2;19,6;16,4;9,5;9,5;9,5;9,5
2018;26075911;Regular;490,2696121;44,9;53,6;44,6;38,2;4,2;4,2;4,2;4,3
2018;26075920;Regular;480,8898438;35,6;45,3;36,1;23,1;4,4;4,3;4,5;4,3
2018;26075970;Regular;483,5898438;31,3;44,4;17,1;25,6;4,5;4,5;4,5;4,5
2018;26075997;Regular;494,6052326;31,6;36;31,3;28,8;4,3;4,3;4,3;4,4
2018;26076047;Regular;499,0767045;35,4;38,6;40,6;20,5;4,1;4;4,1;4,3
2018;26076250;EREM;493,959375;26,3;28,6;25,6;25;8;8;8;8
2018;26076357;Regular;512,9972727;24;29,3;28,1;16,5;4,5;4,5;4,5;4,5
2018;26076780;EREM;496,9929412;43,4;51,5;39,4;33,8;7,4;7,3;7,2;7,8
2018;26077825;EREM;495,1006757;23,4;27,1;22,7;17,7;9,5;9,5;9,5;9,5
2018;26078562;EREM;513,4080508;36,8;44,9;36,6;21,8;9,5;9,5;9,5;9,5
2018;26078805;EREM;540,1009009;10;12,6;8,6;8,7;9,5;9,5;9,5;9,5
2018;26078872;Regular;481,574026;30,2;44,1;20,9;17,5;4,5;4,5;4,5;4,3
2018;26079739;EREM;478,4859756;36;37,8;38,3;27,8;7,1;7,3;6,7;7,4
2018;26080516;EREM;492,2007692;32,6;39,9;28,2;25,8;7,9;8,3;7,9;7,3
2018;26081059;EREM;492,6030952;44;49,6;47,2;35,8;7,7;8,3;7,4;7,4
2018;26081180;EREM;485,650625;34,8;47,5;29,5;29,5;9,5;9,5;9,5;9,5
2018;26081849;EREM;487,755;32,3;43,5;28,4;17,7;9,5;9,5;9,5;9,5
2018;26082020;Regular;461,1257813;54,4;63,3;55,7;49,2;3,9;3,9;3,9;4,1
2018;26082179;EREM;515,4589041;19;20,4;20,7;13,1;9,5;9,5;9,5;9,5
2018;26082861;EREM;453,6583333;24,3;29,2;20,5;20,3;8,5;9,5;9,5;9,5
2018;26083159;EREM;504,4791958;9,8;9,8;11,4;7,8;9,5;9,5;9,5;9,5
2018;26083493;Regular;468,4409574;37;41,5;35,5;32,1;4,3;4,3;4,2;4,3
2018;26083639;EREM;494,0031646;28,9;35,4;27,2;21,2;9,3;9,5;9,5;9,5
2018;26084040;Regular;476,2722973;39,8;40,2;45,6;31,5;4,1;4,2;4;4
2018;26084201;EREM;515,2938312;13;15,7;12,4;9,8;9,5;9,5;9,5;9,5
2018;26084791;EREM;484,4764085;28;35,2;27,5;18,9;9,5;9,5;9,5;9,5
2018;26086077;EREM;495,4579268;25,9;33,7;23,5;19,8;9,5;9,5;9,5;9,5
2018;26086638;EREM;493,4292308;24,4;26,8;24,9;20,9;7,2;7,7;7,1;7
2018;26086905;EREM;496,7278986;20,2;23;12,5;26,8;9,5;9,5;9,5;9,5
2018;26087030;Regular;471,6547297;45,1;48,4;48,1;39,8;4,4;4,5;4,4;4,3
2018;26087375;EREM;488,3671875;16,6;19,6;14,3;14,7;8,1;9,5;6,9;7,2
2018;26087715;EREM;480,9151316;37,7;46,2;32,9;28,8;9,5;9,5;9,5;9,5
2018;26087910;EREM;483,6360417;21,2;28,4;16,4;16,2;9,5;9,5;9,5;9,5
2018;26087928;EREM;482,49525;24,2;22,8;21,6;27,3;7,2;9,3;9,5;4,5
2018;26088134;Regular;478,708871;30,9;41,1;36,2;14,7;4,5;4,5;4,5;4,5
2018;26088258;Regular;505,0135135;16,2;21,3;15,2;11,9;4,5;4,5;4,5;4,5
2018;26088282;EREM;505,3;10,6;15,8;10,3;5,3;9,5;9,5;9,5;9,5
2018;26088410;EREM;496,2147321;15,2;20,2;11,3;10,7;9,5;9,5;9,6;9,5
2018;26088533;Regular;477,659375;53,6;57;56,9;47,8;4,3;4,5;4,3;4,3
2018;26088606;EREM;476,2207447;23,7;31,3;21,1;17,5;10;10;10;10
2018;26088851;EREM;487,771131;17,8;25,4;14,5;10,4;9,5;9,5;9,5;9,5
2018;26088886;Regular;485,6651099;36,1;44,3;39,1;26,3;4,3;4,2;4,3;4,3
2018;26088894;EREM;469,983642;33,1;41,3;27,5;31,1;6,5;9,2;9,2;4,5
2018;26089424;EREM;471,4237179;25,9;31,1;28,7;14;9,5;9,5;9,5;9,5
2018;26089505;EREM;517,6512255;9,5;11,3;7,5;8,7;9,5;9,5;9,5;9,5
2018;26089530;Regular;492,6434959;34,7;42,9;36,6;25,7;4,2;4,2;4,3;4,2
2018;26090058;EREM;494,5557292;18,4;23,5;19,2;9,5;9,5;9,5;9,5;9,5
2018;26090309;EREM;487,0096154;31,4;36,3;30;26,6;7,6;8,1;8,3;8
2018;26090406;EREM;473,9645161;28,2;23,5;31,2;27,9;5,7;9,5;4,4;4,2
2018;26090830;Privada;572,9765873;2,8;3,1;2,3;2,9;5,3;5,3;5,3;5,3
2018;26090902;EREM;508,4392857;11,9;14,6;7,9;12,4;9,5;9,5;9,5;9,5
2018;26090910;EREM;473,7330247;33;32;28,6;35,9;6,5;9,5;9,5;4,5
2018;26090970;Regular;603,3463158;6,3;6;4,4;8,6;9,6;9,7;9,6;9,7
2018;26091259;EREM;492,7081395;21,5;33,6;15;15,2;9,5;9,5;9,5;9,5
2018;26091267;EREM;464,4504098;33,9;29,7;45,1;27,7;4,5;4,5;4,7;4,5
2018;26091542;Regular;475,3418919;35,5;41,9;34;23,8;4,5;4,5;4,5;4,5
2018;26091720;EREM;493,3474747;19,6;20;16,5;23,3;8,8;9,5;9,5;9,5
2018;26091828;EREM;467,0228155;38,7;37,1;41,7;37,3;6,3;9,5;4,5;4,5
2018;26091852;Privada;585,5885135;4,9;5,6;6,1;2,9;4,8;5,1;5,1;4,3
2018;26092301;EREM;488,8755102;21,9;27,7;22;10,2;9,5;9,5;9,5;9,5
2018;26092492;Regular;465,3194444;44,2;56,7;39,4;31,4;4,5;4,5;4,5;4,5
2018;26092786;EREM;491,6652174;9,4;12,3;5,8;9,9;9,5;9,5;9,5;9,5
2018;26093030;EREM;483,6947183;27,2;34;27,4;16,7;7,7;8,1;7,8;7,8
2018;26093219;EREM;481,662037;27,6;24,3;37,5;11,8;7,8;9,5;7,4;9,5
2018;26093570;EREM;501,7752577;9,3;11;7,8;8,7;9,5;9,5;9,5;9,5
2018;26093600;Regular;463,7239437;40,3;53,3;40,2;24,8;4,4;4,5;4,5;4,5
2018;26093995;EREM;505,5679167;19;29,5;15,5;9,5;9,5;9,5;9,5;9,5
2018;26094681;Privada;586,69375;4;1,1;6,4;4,6;6,2;6,1;6,3;6,4
2018;26094789;Federal;529,0663136;24,5;27,4;24,8;18,7;9,8;9,8;9,8;9,8
2018;26094800;EREM;492,9042857;31;36,1;22,3;31,8;8,3;9,5;9,5;9,5
2018;26094878;Regular;472,5944444;33,1;45,2;25,8;29,1;4,2;4,5;4,3;4,5
2018;26095289;ETE;508,2370787;14,1;12;16;14,1;9,5;9,5;9,5;9,5
2018;26095297;Regular;473,0352151;33,9;45,7;35,8;17,8;4,4;4,5;4,5;4,3
2018;26095335;EREM;497,8013636;26,4;38,1;20,5;14,8;9,5;9,5;9,5;9,5
2018;26095530;Regular;491,6773256;44,9;52,1;42,4;37,1;4,4;4,5;4,5;4,5
2018;26095904;Privada;575,9269417;5,8;8,5;4,4;3,7;5;5,1;5,1;4,7
2018;26095912;Privada;570,0844737;7;4,4;8,1;8,6;5,3;5,3;5,3;5,3
2018;26096030;EREM;469,9845865;36,9;45,4;31,5;25,4;8,1;8,2;8,4;8,3
2018;26097117;EREM;511,7146104;18,6;24,9;14;14,3;9,5;9,5;9,5;9,5
2018;26097257;EREM;514,3150794;10,7;15,2;7;6,7;9,5;9,5;9,5;9,5
2018;26097311;Federal;518,3522727;26;27,9;25,7;23,7;10,3;10,3;10,3;10,3
2018;26097591;Regular;460,6180723;43;52,1;37,1;42,5;6,7;7,5;7,5;6,7
2018;26097982;EREM;506,2012821;30,2;27,9;28,9;35,1;8,5;8,6;8,5;8,4
2018;26098415;Regular;481,7361111;20,9;19,6;23,4;19,3;4,3;4,4;4,3;4,2
2018;26098482;EREM;506,6293033;20;25,3;22,4;9,9;9,5;9,5;9,5;9,5
2018;26098822;EREM;475,7864458;25,8;33,8;23,5;16,5;9,5;9,5;9,5;9,5
2018;26098920;ETE;511,238764;12,4;15,2;12,1;9,6;9,5;9,5;9,5;9,5
2018;26099365;Regular;482,2594595;25,3;29,3;21,6;24,7;4,5;4,5;4,5;4,5
2018;26099489;EREM;497,4143293;15,2;18,3;15,3;11;8,8;9,8;9,8;9,8
2018;26099497;Regular;482,6830357;34,7;35,9;34,8;33;4,4;4,5;4,3;4,5
2018;26099853;EREM;485,1237179;32,6;43,9;28,9;20;8,9;9,5;9,5;9,5
2018;26100525;EREM;487,7095745;27,5;37,8;23,6;12,7;9,1;9,5;8,3;9,5
2018;26100614;EREM;478,7407143;27,1;48,9;14,3;9,1;9,5;9,5;9,5;9,5
2018;26100940;EREM;480,8185185;49,6;40,6;35,4;67,6;8,2;9,5;9,5;6
2018;26101084;EREM;503,4886628;14,8;25,7;6,9;8,4;9,5;9,5;9,5;9,5
2018;26101653;ETE;518,2532178;12,5;15,3;8;13,3;8;8;8;8
2018;26102153;EREM;488,32875;30,5;40;28,1;14,8;9,5;9,5;9,5;9,5
2018;26102250;EREM;473,602459;30,5;37,2;26,5;23,5;8,7;9,5;8,2;8,1
2018;26102552;EREM;507,1834302;22,7;28,4;21,9;12,3;9,5;9,5;9,6;9,5
2018;26102633;Regular;465,1123333;38,5;46,4;41,7;23,1;4,4;4,4;4,5;4,5
2018;26103370;Regular;479,4701613;40,8;52,3;44,9;18,1;4,3;4,5;4,2;4,3
2018;26103745;EREM;501,1289855;17,4;27;16;6,3;9,5;9,5;9,5;9,5
2018;26103834;EREM;488,0636364;26,9;31,5;28,8;16,2;9,5;9,5;9,5;9,5
2018;26104083;EREM;476,4466216;36,4;58,6;19,8;15,4;9,5;9,5;9,5;9,5
2018;26104229;EREM;505,333046;12,7;15,3;9,1;14,8;9,5;9,5;9,5;9,5
2018;26104920;EREM;486,3535714;21,9;25,3;21,4;17,1;9,5;9,5;9,5;9,5
