"","tipo","localizacao","ICG","INSE","TDI_EM","MHA_EM","REP_EM"
"60","EREM","Urbana","N6","[4.26,4.55)","[25.6,65.3]","[3.8,5.4)","[5,33.2]"
"61","EREM","Urbana","N2","[4.55,6.35]","[13.3,25.6)","[9.5,10.5]","[5,33.2]"
"62","EREM","Urbana","N4","[3.54,4.26)","[13.3,25.6)","[5.4,9.5)","[2.7,5)"
"63","EREM","Urbana","N4","[3.54,4.26)","[13.3,25.6)","[9.5,10.5]","[5,33.2]"
"64","EREM","Urbana","N4","[3.54,4.26)","[25.6,65.3]","[5.4,9.5)","[0,2.7)"
"65","EREM","Urbana","N4","[4.55,6.35]","[13.3,25.6)","[9.5,10.5]","[2.7,5)"
"66","EREM","Urbana","N4","[4.55,6.35]","[13.3,25.6)","[9.5,10.5]","[2.7,5)"
"67","EREM","Urbana","N4","[4.55,6.35]","[0,13.3)","[9.5,10.5]","[2.7,5)"
"68","EREM","Urbana","N4","[4.55,6.35]","[0,13.3)","[9.5,10.5]","[5,33.2]"
"69","EREM","Urbana","N4","[4.55,6.35]","[13.3,25.6)","[9.5,10.5]","[5,33.2]"
"70","EREM","Urbana","N4","[4.55,6.35]","[13.3,25.6)","[9.5,10.5]","[0,2.7)"
"71","EREM","Urbana","N5","[4.26,4.55)","[25.6,65.3]","[5.4,9.5)","[5,33.2]"
"72","EREM","Urbana","N4","[4.55,6.35]","[13.3,25.6)","[9.5,10.5]","[5,33.2]"
"73","EREM","Urbana","N2","[4.26,4.55)","[13.3,25.6)","[9.5,10.5]","[2.7,5)"
"74","EREM","Urbana","N4","[4.26,4.55)","[13.3,25.6)","[9.5,10.5]","[5,33.2]"
"75","EREM","Urbana","N2","[3.54,4.26)","[13.3,25.6)","[9.5,10.5]","[2.7,5)"
"76","EREM","Urbana","N4","[3.54,4.26)","[13.3,25.6)","[9.5,10.5]","[0,2.7)"
"77","EREM","Urbana","N2","[4.26,4.55)","[0,13.3)","[9.5,10.5]","[0,2.7)"
"78","EREM","Urbana","N2","[4.26,4.55)","[0,13.3)","[9.5,10.5]","[0,2.7)"
"79","EREM","Urbana","N4","[3.54,4.26)","[25.6,65.3]","[5.4,9.5)","[2.7,5)"
"80","EREM","Urbana","N5","[3.54,4.26)","[13.3,25.6)","[5.4,9.5)","[2.7,5)"
"81","EREM","Urbana","N2","[3.54,4.26)","[0,13.3)","[9.5,10.5]","[0,2.7)"
"82","EREM","Urbana","N2","[3.54,4.26)","[25.6,65.3]","[9.5,10.5]","[0,2.7)"
"83","EREM","Urbana","N4","[4.26,4.55)","[0,13.3)","[9.5,10.5]","[0,2.7)"
"84","EREM","Urbana","N4","[3.54,4.26)","[13.3,25.6)","[9.5,10.5]","[5,33.2]"
"85","EREM","Urbana","N2","[3.54,4.26)","[13.3,25.6)","[9.5,10.5]","[0,2.7)"
"86","EREM","Urbana","N4","[4.26,4.55)","[13.3,25.6)","[9.5,10.5]","[2.7,5)"
"87","EREM","Urbana","N2","[3.54,4.26)","[13.3,25.6)","[9.5,10.5]","[2.7,5)"
"88","EREM","Urbana","N2","[4.55,6.35]","[13.3,25.6)","[9.5,10.5]","[5,33.2]"
"89","EREM","Urbana","N2","[3.54,4.26)","[13.3,25.6)","[9.5,10.5]","[2.7,5)"
"90","EREM","Urbana","N5","[3.54,4.26)","[13.3,25.6)","[5.4,9.5)","[0,2.7)"
"91","EREM","Urbana","N4","[3.54,4.26)","[0,13.3)","[9.5,10.5]","[0,2.7)"
"92","EREM","Urbana","N4","[3.54,4.26)","[13.3,25.6)","[9.5,10.5]","[5,33.2]"
"93","EREM","Urbana","N4","[4.55,6.35]","[0,13.3)","[5.4,9.5)","[2.7,5)"
"94","EREM","Urbana","N4","[3.54,4.26)","[13.3,25.6)","[9.5,10.5]","[5,33.2]"
"95","EREM","Rural","N2","[3.54,4.26)","[13.3,25.6)","[9.5,10.5]","[2.7,5)"
"96","EREM","Urbana","N4","[3.54,4.26)","[25.6,65.3]","[9.5,10.5]","[0,2.7)"
"97","EREM","Urbana","N3","[3.54,4.26)","[0,13.3)","[5.4,9.5)","[0,2.7)"
"98","EREM","Urbana","N2","[3.54,4.26)","[13.3,25.6)","[9.5,10.5]","[0,2.7)"
"99","EREM","Urbana","N5","[3.54,4.26)","[13.3,25.6)","[5.4,9.5)","[0,2.7)"
"100","EREM","Urbana","N2","[3.54,4.26)","[13.3,25.6)","[5.4,9.5)","[2.7,5)"
"101","EREM","Urbana","N4","[3.54,4.26)","[13.3,25.6)","[9.5,10.5]","[0,2.7)"
"102","EREM","Urbana","N2","[4.26,4.55)","[13.3,25.6)","[9.5,10.5]","[2.7,5)"
