"","tipo","localizacao","ICG","INSE","TDI_EM","MHA_EM","REP_EM"
"258","EREM","Urbana","N4","[4.26,4.55)","[0,13.3)","[9.5,10.5]","[2.7,5)"
"259","EREM","Urbana","N4","[4.55,6.35]","[13.3,25.6)","[5.4,9.5)","[5,33.2]"
"260","EREM","Urbana","N2","[4.26,4.55)","[25.6,65.3]","[9.5,10.5]","[2.7,5)"
"261","EREM","Urbana","N3","[4.55,6.35]","[13.3,25.6)","[5.4,9.5)","[5,33.2]"
"262","EREM","Urbana","N2","[4.55,6.35]","[13.3,25.6)","[9.5,10.5]","[5,33.2]"
"263","EREM","Urbana","N3","[4.26,4.55)","[13.3,25.6)","[5.4,9.5)","[5,33.2]"
"264","EREM","Urbana","N3","[4.26,4.55)","[13.3,25.6)","[5.4,9.5)","[5,33.2]"
"265","EREM","Urbana","N2","[4.55,6.35]","[0,13.3)","[5.4,9.5)","[0,2.7)"
"266","EREM","Urbana","N3","[4.55,6.35]","[13.3,25.6)","[5.4,9.5)","[2.7,5)"
"267","EREM","Urbana","N2","[4.55,6.35]","[13.3,25.6)","[9.5,10.5]","[0,2.7)"
"268","EREM","Urbana","N5","[4.26,4.55)","[13.3,25.6)","[5.4,9.5)","[2.7,5)"
"269","EREM","Urbana","N4","[4.26,4.55)","[13.3,25.6)","[9.5,10.5]","[0,2.7)"
"270","EREM","Urbana","N4","[4.55,6.35]","[13.3,25.6)","[9.5,10.5]","[2.7,5)"
"271","EREM","Urbana","N4","[4.55,6.35]","[13.3,25.6)","[9.5,10.5]","[5,33.2]"
"272","EREM","Urbana","N4","[4.26,4.55)","[13.3,25.6)","[9.5,10.5]","[5,33.2]"
"273","EREM","Urbana","N2","[4.55,6.35]","[0,13.3)","[9.5,10.5]","[5,33.2]"
"274","EREM","Urbana","N2","[4.26,4.55)","[13.3,25.6)","[9.5,10.5]","[0,2.7)"
"275","EREM","Urbana","N3","[4.55,6.35]","[13.3,25.6)","[5.4,9.5)","[2.7,5)"
"276","EREM","Urbana","N3","[4.55,6.35]","[13.3,25.6)","[5.4,9.5)","[5,33.2]"
"277","EREM","Urbana","N4","[4.55,6.35]","[13.3,25.6)","[9.5,10.5]","[5,33.2]"
"278","EREM","Urbana","N4","[4.26,4.55)","[13.3,25.6)","[9.5,10.5]","[5,33.2]"
"279","EREM","Urbana","N2","[4.26,4.55)","[25.6,65.3]","[9.5,10.5]","[2.7,5)"
"280","EREM","Urbana","N5","[4.26,4.55)","[13.3,25.6)","[5.4,9.5)","[2.7,5)"
"281","EREM","Urbana","N5","[4.26,4.55)","[13.3,25.6)","[5.4,9.5)","[0,2.7)"
"282","EREM","Urbana","N2","[4.55,6.35]","[13.3,25.6)","[9.5,10.5]","[0,2.7)"
"283","EREM","Urbana","N2","[4.26,4.55)","[13.3,25.6)","[9.5,10.5]","[2.7,5)"
"284","EREM","Rural","N4","[4.26,4.55)","[13.3,25.6)","[9.5,10.5]","[0,2.7)"
"285","EREM","Urbana","N2","[4.55,6.35]","[0,13.3)","[9.5,10.5]","[5,33.2]"
"286","EREM","Urbana","N4","[3.54,4.26)","[0,13.3)","[9.5,10.5]","[0,2.7)"
"287","EREM","Urbana","N4","[3.54,4.26)","[25.6,65.3]","[5.4,9.5)","[2.7,5)"
"288","EREM","Urbana","N2","[3.54,4.26)","[0,13.3)","[9.5,10.5]","[0,2.7)"
"289","EREM","Urbana","N2","[4.55,6.35]","[0,13.3)","[9.5,10.5]","[5,33.2]"
"290","EREM","Urbana","N5","[4.55,6.35]","[13.3,25.6)","[5.4,9.5)","[5,33.2]"
"291","EREM","Urbana","N2","[4.26,4.55)","[13.3,25.6)","[9.5,10.5]","[0,2.7)"
"292","EREM","Urbana","N2","[4.55,6.35]","[0,13.3)","[9.5,10.5]","[5,33.2]"
"293","EREM","Urbana","N4","[4.55,6.35]","[0,13.3)","[5.4,9.5)","[0,2.7)"
"294","EREM","Urbana","N4","[3.54,4.26)","[13.3,25.6)","[9.5,10.5]","[0,2.7)"
"295","EREM","Urbana","N4","[3.54,4.26)","[13.3,25.6)","[9.5,10.5]","[0,2.7)"
"296","EREM","Rural","N4","[3.54,4.26)","[13.3,25.6)","[9.5,10.5]","[0,2.7)"
"297","EREM","Urbana","N5","[3.54,4.26)","[13.3,25.6)","[5.4,9.5)","[5,33.2]"
"298","EREM","Urbana","N2","[4.55,6.35]","[0,13.3)","[9.5,10.5]","[0,2.7)"
"299","EREM","Urbana","N4","[3.54,4.26)","[13.3,25.6)","[5.4,9.5)","[0,2.7)"
"300","EREM","Urbana","N2","[4.55,6.35]","[13.3,25.6)","[9.5,10.5]","[5,33.2]"
"301","EREM","Urbana","N2","[4.55,6.35]","[0,13.3)","[9.5,10.5]","[2.7,5)"
"302","EREM","Urbana","N2","[4.55,6.35]","[0,13.3)","[9.5,10.5]","[0,2.7)"
"303","EREM","Urbana","N3","[4.55,6.35]","[0,13.3)","[5.4,9.5)","[2.7,5)"
"304","EREM","Urbana","N2","[4.55,6.35]","[0,13.3)","[9.5,10.5]","[2.7,5)"
"305","EREM","Urbana","N2","[4.55,6.35]","[0,13.3)","[9.5,10.5]","[5,33.2]"
"306","EREM","Urbana","N2","[4.55,6.35]","[0,13.3)","[9.5,10.5]","[2.7,5)"
"307","EREM","Urbana","N2","[4.55,6.35]","[0,13.3)","[9.5,10.5]","[0,2.7)"
"308","EREM","Rural","N2","[4.55,6.35]","[0,13.3)","[9.5,10.5]","[5,33.2]"
"309","EREM","Urbana","N2","[4.55,6.35]","[13.3,25.6)","[9.5,10.5]","[0,2.7)"
"310","EREM","Urbana","N2","[4.55,6.35]","[0,13.3)","[9.5,10.5]","[2.7,5)"
"311","EREM","Urbana","N2","[4.55,6.35]","[0,13.3)","[9.5,10.5]","[5,33.2]"
"312","EREM","Urbana","N2","[4.55,6.35]","[0,13.3)","[9.5,10.5]","[0,2.7)"
"313","EREM","Rural","N4","[4.55,6.35]","[13.3,25.6)","[9.5,10.5]","[5,33.2]"
"314","EREM","Urbana","N2","[4.26,4.55)","[0,13.3)","[9.5,10.5]","[2.7,5)"
"315","EREM","Urbana","N4","[4.26,4.55)","[13.3,25.6)","[9.5,10.5]","[2.7,5)"
"316","EREM","Urbana","N2","[4.26,4.55)","[13.3,25.6)","[9.5,10.5]","[0,2.7)"
"317","EREM","Urbana","N2","[4.55,6.35]","[0,13.3)","[9.5,10.5]","[0,2.7)"
"318","EREM","Urbana","N4","[3.54,4.26)","[13.3,25.6)","[5.4,9.5)","[5,33.2]"
"319","EREM","Urbana","N2","[3.54,4.26)","[0,13.3)","[9.5,10.5]","[0,2.7)"
"320","ETE","Urbana","N4","[4.55,6.35]","[0,13.3)","[5.4,9.5)","[5,33.2]"
"321","ETE","Urbana","N4","[4.26,4.55)","[0,13.3)","[9.5,10.5]","[0,2.7)"
"322","ETE","Urbana","N3","[4.26,4.55)","[0,13.3)","[9.5,10.5]","[0,2.7)"
"323","ETE","Urbana","N3","[4.55,6.35]","[0,13.3)","[9.5,10.5]","[2.7,5)"
"324","ETE","Urbana","N4","[4.55,6.35]","[0,13.3)","[9.5,10.5]","[2.7,5)"
"325","ETE","Urbana","N4","[4.55,6.35]","[0,13.3)","[9.5,10.5]","[0,2.7)"
"326","ETE","Urbana","N3","[4.55,6.35]","[0,13.3)","[9.5,10.5]","[0,2.7)"
"327","ETE","Urbana","N4","[3.54,4.26)","[25.6,65.3]","[5.4,9.5)","[2.7,5)"
"328","ETE","Urbana","N3","[4.26,4.55)","[0,13.3)","[9.5,10.5]","[0,2.7)"
"329","ETE","Urbana","N3","[4.26,4.55)","[0,13.3)","[9.5,10.5]","[5,33.2]"
"330","ETE","Urbana","N3","[4.26,4.55)","[0,13.3)","[9.5,10.5]","[0,2.7)"
"331","ETE","Urbana","N3","[4.55,6.35]","[0,13.3)","[9.5,10.5]","[0,2.7)"
"332","ETE","Urbana","N3","[4.55,6.35]","[0,13.3)","[9.5,10.5]","[5,33.2]"
"333","ETE","Urbana","N3","[4.55,6.35]","[0,13.3)","[9.5,10.5]","[2.7,5)"
"334","ETE","Urbana","N3","[4.26,4.55)","[0,13.3)","[9.5,10.5]","[0,2.7)"
"335","ETE","Urbana","N3","[4.55,6.35]","[0,13.3)","[9.5,10.5]","[5,33.2]"
"336","ETE","Urbana","N3","[4.55,6.35]","[0,13.3)","[9.5,10.5]","[0,2.7)"
"337","ETE","Urbana","N2","[4.55,6.35]","[0,13.3)","[9.5,10.5]","[2.7,5)"
"338","ETE","Urbana","N4","[4.55,6.35]","[0,13.3)","[9.5,10.5]","[2.7,5)"
"339","ETE","Urbana","N3","[3.54,4.26)","[13.3,25.6)","[9.5,10.5]","[5,33.2]"
"340","ETE","Urbana","N3","[4.55,6.35]","[0,13.3)","[9.5,10.5]","[0,2.7)"
"341","ETE","Urbana","N3","[3.54,4.26)","[0,13.3)","[9.5,10.5]","[0,2.7)"
"342","ETE","Urbana","N3","[4.26,4.55)","[0,13.3)","[9.5,10.5]","[0,2.7)"
"343","ETE","Urbana","N2","[4.55,6.35]","[0,13.3)","[9.5,10.5]","[2.7,5)"
"344","ETE","Urbana","N3","[4.26,4.55)","[0,13.3)","[9.5,10.5]","[0,2.7)"
"345","ETE","Urbana","N2","[4.55,6.35]","[0,13.3)","[9.5,10.5]","[2.7,5)"
"346","ETE","Urbana","N3","[4.55,6.35]","[0,13.3)","[9.5,10.5]","[2.7,5)"
"347","ETE","Urbana","N3","[4.26,4.55)","[0,13.3)","[9.5,10.5]","[2.7,5)"
"348","ETE","Urbana","N2","[4.55,6.35]","[0,13.3)","[9.5,10.5]","[5,33.2]"
"349","ETE","Rural","N3","[4.26,4.55)","[0,13.3)","[9.5,10.5]","[2.7,5)"
"350","ETE","Urbana","N4","[4.55,6.35]","[0,13.3)","[9.5,10.5]","[2.7,5)"
"351","ETE","Urbana","N4","[4.55,6.35]","[0,13.3)","[9.5,10.5]","[5,33.2]"
"352","ETE","Urbana","N3","[4.55,6.35]","[0,13.3)","[9.5,10.5]","[2.7,5)"
"353","ETE","Urbana","N3","[4.26,4.55)","[0,13.3)","[9.5,10.5]","[2.7,5)"
"354","ETE","Urbana","N3","[4.26,4.55)","[0,13.3)","[9.5,10.5]","[0,2.7)"
"355","ETE","Urbana","N3","[4.55,6.35]","[0,13.3)","[9.5,10.5]","[5,33.2]"
"356","ETE","Urbana","N3","[4.55,6.35]","[0,13.3)","[9.5,10.5]","[0,2.7)"
"357","ETE","Urbana","N3","[3.54,4.26)","[0,13.3)","[9.5,10.5]","[5,33.2]"
"358","Federal","Rural","N3","[4.26,4.55)","[13.3,25.6)","[5.4,9.5)","[5,33.2]"
"359","Federal","Urbana","N5","[4.55,6.35]","[0,13.3)","[3.8,5.4)","[5,33.2]"
"360","Federal","Urbana","N5","[4.26,4.55)","[25.6,65.3]","[9.5,10.5]","[5,33.2]"
"361","Federal","Rural","N5","[4.55,6.35]","[13.3,25.6)","[9.5,10.5]","[5,33.2]"
"362","Federal","Rural","N4","[4.26,4.55)","[25.6,65.3]","[9.5,10.5]","[5,33.2]"
"363","Federal","Urbana","N2","[4.55,6.35]","[0,13.3)","[3.8,5.4)","[0,2.7)"
"364","Federal","Urbana","N4",NA,"[25.6,65.3]","[3.8,5.4)","[5,33.2]"
"365","Federal","Urbana","N4","[4.55,6.35]","[0,13.3)","[5.4,9.5)","[2.7,5)"
"366","Federal","Rural","N5","[4.55,6.35]","[25.6,65.3]","[3.8,5.4)","[5,33.2]"
"367","Federal","Urbana","N3","[4.55,6.35]","[0,13.3)","[3.8,5.4)","[0,2.7)"
"368","Federal","Urbana","N5","[4.55,6.35]","[13.3,25.6)","[3.8,5.4)","[5,33.2]"
"369","Federal","Urbana","N5","[4.55,6.35]","[0,13.3)","[3.8,5.4)","[5,33.2]"
"370","Federal","Rural","N5","[4.55,6.35]","[13.3,25.6)","[3.8,5.4)","[5,33.2]"
"371","Privada","Urbana","N2",NA,"[0,13.3)","[5.4,9.5)","[2.7,5)"
"372","Privada","Urbana","N4",NA,"[0,13.3)","[3.8,5.4)","[0,2.7)"
"373","Privada","Urbana","N4",NA,"[0,13.3)","[5.4,9.5)","[0,2.7)"
"374","Privada","Urbana","N4",NA,"[0,13.3)","[5.4,9.5)","[5,33.2]"
"375","Privada","Urbana","N4",NA,"[0,13.3)","[3.8,5.4)","[0,2.7)"
"376","Privada","Urbana","N3",NA,"[0,13.3)","[5.4,9.5)","[0,2.7)"
"377","Privada","Urbana","N4",NA,"[0,13.3)","[5.4,9.5)","[5,33.2]"
"378","Privada","Urbana","N4",NA,"[0,13.3)","[3.8,5.4)","[0,2.7)"
"379","Privada","Urbana","N4",NA,"[0,13.3)","[5.4,9.5)","[2.7,5)"
"380","Privada","Urbana","N4",NA,"[0,13.3)","[9.5,10.5]","[5,33.2]"
"381","Privada","Urbana","N4",NA,"[0,13.3)","[3.8,5.4)","[0,2.7)"
"382","Privada","Urbana","N4",NA,"[0,13.3)","[3.8,5.4)","[0,2.7)"
"383","Privada","Urbana","N4",NA,"[0,13.3)","[3.8,5.4)","[5,33.2]"
"384","Privada","Urbana","N4",NA,"[0,13.3)","[5.4,9.5)","[0,2.7)"
"385","Privada","Urbana","N3",NA,"[0,13.3)","[3.8,5.4)","[2.7,5)"
"386","Privada","Urbana","N4",NA,"[0,13.3)","[3.8,5.4)","[5,33.2]"
"387","Privada","Urbana","N4",NA,"[0,13.3)","[5.4,9.5)","[0,2.7)"
"388","Privada","Urbana","N4",NA,"[0,13.3)","[3.8,5.4)","[5,33.2]"
"389","Privada","Urbana","N4",NA,"[0,13.3)","[3.8,5.4)","[0,2.7)"
"390","Privada","Urbana","N6",NA,"[13.3,25.6)","[5.4,9.5)","[5,33.2]"
"391","Privada","Urbana","N4",NA,"[0,13.3)","[3.8,5.4)","[0,2.7)"
"392","Privada","Urbana","N4",NA,"[0,13.3)","[3.8,5.4)","[5,33.2]"
"393","Privada","Urbana","N4",NA,"[0,13.3)","[5.4,9.5)","[5,33.2]"
"394","Privada","Urbana","N4",NA,"[0,13.3)","[3.8,5.4)","[2.7,5)"
"395","Privada","Urbana","N4",NA,"[0,13.3)","[5.4,9.5)","[5,33.2]"
"396","Privada","Urbana","N4",NA,"[0,13.3)","[5.4,9.5)","[2.7,5)"
"397","Privada","Urbana","N4",NA,"[0,13.3)","[5.4,9.5)","[2.7,5)"
"398","Privada","Urbana","N4",NA,"[0,13.3)","[5.4,9.5)","[2.7,5)"
"399","Privada","Urbana","N4",NA,"[0,13.3)","[5.4,9.5)","[2.7,5)"
"400","Privada","Urbana","N4",NA,"[0,13.3)","[3.8,5.4)","[0,2.7)"
"401","Privada","Urbana","N3",NA,"[0,13.3)","[5.4,9.5)","[5,33.2]"
"402","Privada","Urbana","N4",NA,"[0,13.3)","[3.8,5.4)","[0,2.7)"
"403","Privada","Urbana","N4",NA,"[0,13.3)","[5.4,9.5)","[0,2.7)"
"404","Privada","Urbana","N3",NA,"[0,13.3)","[5.4,9.5)","[2.7,5)"
"405","Privada","Urbana","N2",NA,"[0,13.3)","[5.4,9.5)","[2.7,5)"
"406","Privada","Urbana","N4",NA,"[0,13.3)","[3.8,5.4)","[0,2.7)"
"407","Privada","Urbana","N3",NA,"[0,13.3)","[3.8,5.4)","[0,2.7)"
"408","Privada","Urbana","N5",NA,"[0,13.3)","[3.8,5.4)","[2.7,5)"
"409","Privada","Urbana","N3",NA,"[0,13.3)","[5.4,9.5)","[0,2.7)"
"410","Privada","Urbana","N3",NA,"[0,13.3)","[5.4,9.5)","[0,2.7)"
"411","Privada","Urbana","N3",NA,"[0,13.3)","[3.8,5.4)","[2.7,5)"
"412","Privada","Urbana","N4",NA,"[0,13.3)","[5.4,9.5)","[5,33.2]"
"413","Privada","Urbana","N4",NA,"[0,13.3)","[5.4,9.5)","[2.7,5)"
"414","Privada","Urbana","N4",NA,"[0,13.3)","[3.8,5.4)","[5,33.2]"
"415","Privada","Urbana","N4",NA,"[0,13.3)","[3.8,5.4)","[5,33.2]"
"416","Privada","Urbana","N4",NA,"[0,13.3)","[3.8,5.4)","[2.7,5)"
"417","Privada","Urbana","N4",NA,"[0,13.3)","[3.8,5.4)","[5,33.2]"
"418","Privada","Urbana","N4",NA,"[0,13.3)","[3.8,5.4)","[0,2.7)"
"419","Privada","Urbana","N4",NA,"[0,13.3)","[5.4,9.5)","[0,2.7)"
"420","Privada","Urbana","N4",NA,"[0,13.3)","[3.8,5.4)","[5,33.2]"
"421","Privada","Urbana","N4",NA,"[0,13.3)","[5.4,9.5)","[2.7,5)"
"422","Privada","Urbana","N3",NA,"[0,13.3)","[3.8,5.4)","[5,33.2]"
"423","Privada","Urbana","N3",NA,"[0,13.3)","[5.4,9.5)","[5,33.2]"
"424","Privada","Urbana","N3",NA,"[0,13.3)","[3.8,5.4)","[5,33.2]"
"425","Privada","Urbana","N3",NA,"[0,13.3)","[3.8,5.4)","[0,2.7)"
"426","Privada","Urbana","N3",NA,"[0,13.3)","[5.4,9.5)","[5,33.2]"
"427","Privada","Urbana","N4",NA,"[0,13.3)","[3.8,5.4)","[2.7,5)"
"428","Privada","Urbana","N3",NA,"[0,13.3)","[5.4,9.5)","[5,33.2]"
"429","Privada","Urbana","N3",NA,"[0,13.3)","[5.4,9.5)","[0,2.7)"
"430","Regular","Urbana","N6","[3.54,4.26)","[25.6,65.3]","[3.8,5.4)","[5,33.2]"
"431","Regular","Urbana","N6","[3.54,4.26)","[25.6,65.3]","[3.8,5.4)","[2.7,5)"
"432","Regular","Urbana","N5","[3.54,4.26)","[25.6,65.3]","[3.8,5.4)","[0,2.7)"
"433","Regular","Urbana","N6","[3.54,4.26)","[25.6,65.3]","[3.8,5.4)","[2.7,5)"
"434","Regular","Urbana","N4","[3.54,4.26)","[25.6,65.3]","[3.8,5.4)","[2.7,5)"
"435","Regular","Urbana","N5","[3.54,4.26)","[13.3,25.6)","[3.8,5.4)","[0,2.7)"
"436","Regular","Rural","N4","[4.55,6.35]","[0,13.3)","[3.8,5.4)","[0,2.7)"
"437","Regular","Urbana","N6","[4.26,4.55)","[25.6,65.3]","[3.8,5.4)","[2.7,5)"
"438","Regular","Urbana","N5","[3.54,4.26)","[25.6,65.3]","[3.8,5.4)","[0,2.7)"
"439","Regular","Urbana","N4","[4.55,6.35]","[13.3,25.6)","[3.8,5.4)","[2.7,5)"
"440","Regular","Urbana","N4","[4.26,4.55)","[25.6,65.3]","[3.8,5.4)","[2.7,5)"
"441","Regular","Urbana","N5","[3.54,4.26)","[25.6,65.3]","[3.8,5.4)","[2.7,5)"
"442","Regular","Urbana","N4","[3.54,4.26)","[13.3,25.6)","[3.8,5.4)","[0,2.7)"
"443","Regular","Urbana","N5","[3.54,4.26)","[25.6,65.3]","[3.8,5.4)","[0,2.7)"
"444","Regular","Urbana","N5","[4.26,4.55)","[25.6,65.3]","[3.8,5.4)","[5,33.2]"
"445","Regular","Urbana","N4","[4.55,6.35]","[25.6,65.3]","[3.8,5.4)","[5,33.2]"
"446","Regular","Urbana","N5","[4.55,6.35]","[25.6,65.3]","[3.8,5.4)","[5,33.2]"
"447","Regular","Urbana","N5","[4.26,4.55)","[25.6,65.3]","[3.8,5.4)","[5,33.2]"
"448","Regular","Urbana","N3","[4.55,6.35]","[0,13.3)","[3.8,5.4)","[0,2.7)"
"449","Regular","Urbana","N6","[4.55,6.35]","[25.6,65.3]","[3.8,5.4)","[5,33.2]"
"450","Regular","Urbana","N6","[4.55,6.35]","[13.3,25.6)","[3.8,5.4)","[2.7,5)"
"451","Regular","Urbana","N6","[4.55,6.35]","[25.6,65.3]","[3.8,5.4)","[5,33.2]"
"452","Regular","Urbana","N4","[4.55,6.35]","[25.6,65.3]","[3.8,5.4)","[5,33.2]"
"453","Regular","Urbana","N6","[3.54,4.26)","[25.6,65.3]","[3.8,5.4)","[5,33.2]"
"454","Regular","Urbana","N5","[3.54,4.26)","[25.6,65.3]","[3.8,5.4)","[5,33.2]"
"455","Regular","Urbana","N4","[3.54,4.26)","[25.6,65.3]","[3.8,5.4)","[2.7,5)"
"456","Regular","Urbana","N5","[3.54,4.26)","[25.6,65.3]","[3.8,5.4)","[2.7,5)"
"457","Regular","Urbana","N4","[4.26,4.55)","[25.6,65.3]","[3.8,5.4)","[5,33.2]"
"458","Regular","Urbana","N5","[4.26,4.55)","[25.6,65.3]","[3.8,5.4)","[2.7,5)"
"459","Regular","Urbana","N5","[4.26,4.55)","[25.6,65.3]","[3.8,5.4)","[2.7,5)"
"460","Regular","Urbana","N4","[4.55,6.35]","[25.6,65.3]","[3.8,5.4)","[5,33.2]"
"461","Regular","Urbana","N5","[4.26,4.55)","[25.6,65.3]","[3.8,5.4)","[5,33.2]"
"462","Regular","Urbana","N5","[3.54,4.26)","[25.6,65.3]","[3.8,5.4)","[5,33.2]"
"463","Regular","Urbana","N5","[3.54,4.26)","[25.6,65.3]","[3.8,5.4)","[2.7,5)"
"464","Regular","Urbana","N3","[3.54,4.26)","[25.6,65.3]","[3.8,5.4)","[2.7,5)"
"465","Regular","Urbana","N5","[3.54,4.26)","[25.6,65.3]","[3.8,5.4)","[0,2.7)"
"466","Regular","Urbana","N4","[3.54,4.26)","[25.6,65.3]","[3.8,5.4)","[5,33.2]"
"467","Regular","Urbana","N4","[4.26,4.55)","[25.6,65.3]","[3.8,5.4)","[5,33.2]"
"468","Regular","Urbana","N5","[4.26,4.55)","[25.6,65.3]","[3.8,5.4)","[5,33.2]"
"469","Regular","Urbana","N6","[4.55,6.35]","[25.6,65.3]","[3.8,5.4)","[2.7,5)"
"470","Regular","Urbana","N3","[4.26,4.55)","[13.3,25.6)","[3.8,5.4)","[0,2.7)"
"471","Regular","Urbana","N4","[3.54,4.26)","[25.6,65.3]","[3.8,5.4)","[5,33.2]"
"472","Regular","Urbana","N5","[3.54,4.26)","[25.6,65.3]","[3.8,5.4)","[5,33.2]"
"473","Regular","Urbana","N4","[3.54,4.26)","[25.6,65.3]","[3.8,5.4)","[0,2.7)"
"474","Regular","Urbana","N6","[3.54,4.26)","[13.3,25.6)","[3.8,5.4)","[2.7,5)"
"475","Regular","Urbana","N5","[3.54,4.26)","[25.6,65.3]","[3.8,5.4)","[5,33.2]"
"476","Regular","Urbana","N5","[3.54,4.26)","[25.6,65.3]","[3.8,5.4)","[2.7,5)"
"477","Regular","Urbana","N4","[3.54,4.26)","[25.6,65.3]","[3.8,5.4)","[2.7,5)"
"478","Regular","Urbana","N5","[4.55,6.35]","[13.3,25.6)","[3.8,5.4)","[0,2.7)"
"479","Regular","Urbana","N5","[4.26,4.55)","[25.6,65.3]","[3.8,5.4)","[0,2.7)"
"480","Regular","Urbana","N4","[4.26,4.55)","[25.6,65.3]","[3.8,5.4)","[2.7,5)"
"481","Regular","Urbana","N5","[4.26,4.55)","[25.6,65.3]","[3.8,5.4)","[0,2.7)"
"482","Regular","Urbana","N6","[4.26,4.55)","[25.6,65.3]","[3.8,5.4)","[5,33.2]"
"483","Regular","Urbana","N3","[4.55,6.35]","[25.6,65.3]","[3.8,5.4)","[0,2.7)"
"484","Regular","Urbana","N5","[3.54,4.26)","[13.3,25.6)","[3.8,5.4)","[2.7,5)"
"485","Regular","Urbana","N5","[3.54,4.26)","[25.6,65.3]","[3.8,5.4)","[0,2.7)"
"486","Regular","Urbana","N5","[3.54,4.26)","[25.6,65.3]","[3.8,5.4)","[5,33.2]"
"487","Regular","Urbana","N5","[3.54,4.26)","[25.6,65.3]","[3.8,5.4)","[5,33.2]"
"488","Regular","Urbana","N4","[4.55,6.35]","[13.3,25.6)","[3.8,5.4)","[5,33.2]"
"489","Regular","Urbana","N5","[3.54,4.26)","[25.6,65.3]","[3.8,5.4)","[5,33.2]"
"490","Regular","Urbana","N5","[4.26,4.55)","[25.6,65.3]","[3.8,5.4)","[5,33.2]"
"491","Regular","Urbana","N5","[3.54,4.26)","[25.6,65.3]","[3.8,5.4)","[5,33.2]"
"492","Regular","Urbana","N5","[3.54,4.26)","[25.6,65.3]","[3.8,5.4)","[2.7,5)"
"493","Regular","Urbana","N3","[4.55,6.35]","[0,13.3)","[3.8,5.4)","[0,2.7)"
"494","Regular","Urbana","N5","[3.54,4.26)","[25.6,65.3]","[3.8,5.4)","[0,2.7)"
"495","Regular","Urbana","N5","[3.54,4.26)","[25.6,65.3]","[3.8,5.4)","[2.7,5)"
"496","Regular","Urbana","N5","[4.26,4.55)","[25.6,65.3]","[3.8,5.4)","[5,33.2]"
"497","Regular","Urbana","N5","[3.54,4.26)","[25.6,65.3]","[3.8,5.4)","[0,2.7)"
"498","Regular","Urbana","N5","[3.54,4.26)","[25.6,65.3]","[3.8,5.4)","[5,33.2]"
"499","Regular","Urbana","N5","[3.54,4.26)","[25.6,65.3]","[3.8,5.4)","[0,2.7)"
"500","Regular","Urbana","N5","[3.54,4.26)","[25.6,65.3]","[3.8,5.4)","[2.7,5)"
"501","Regular","Urbana","N6","[4.26,4.55)","[25.6,65.3]","[3.8,5.4)","[5,33.2]"
"502","Regular","Urbana","N5","[4.55,6.35]","[25.6,65.3]","[3.8,5.4)","[2.7,5)"
"503","Regular","Urbana","N6","[4.55,6.35]","[25.6,65.3]","[3.8,5.4)","[5,33.2]"
"504","Regular","Urbana","N5","[4.55,6.35]","[13.3,25.6)","[3.8,5.4)","[5,33.2]"
"505","Regular","Urbana","N6","[4.26,4.55)","[25.6,65.3]","[3.8,5.4)","[5,33.2]"
"506","Regular","Urbana","N6","[4.55,6.35]","[13.3,25.6)","[3.8,5.4)","[5,33.2]"
"507","Regular","Urbana","N6","[4.26,4.55)","[25.6,65.3]","[3.8,5.4)","[2.7,5)"
"508","Regular","Rural","N5","[4.26,4.55)","[25.6,65.3]","[3.8,5.4)","[5,33.2]"
"509","Regular","Urbana","N5","[4.26,4.55)","[25.6,65.3]","[3.8,5.4)","[5,33.2]"
"510","Regular","Urbana","N5","[4.26,4.55)","[25.6,65.3]","[3.8,5.4)","[5,33.2]"
"511","Regular","Urbana","N5","[3.54,4.26)","[25.6,65.3]","[3.8,5.4)","[2.7,5)"
"512","Regular","Urbana","N5","[4.26,4.55)","[25.6,65.3]","[3.8,5.4)","[5,33.2]"
"513","Regular","Urbana","N5","[4.26,4.55)","[25.6,65.3]","[3.8,5.4)","[0,2.7)"
"514","Regular","Urbana","N5","[4.26,4.55)","[25.6,65.3]","[3.8,5.4)","[0,2.7)"
"515","Regular","Urbana","N5","[4.26,4.55)","[25.6,65.3]","[3.8,5.4)","[5,33.2]"
"516","Regular","Urbana","N5","[4.55,6.35]","[25.6,65.3]","[3.8,5.4)","[5,33.2]"
"517","Regular","Urbana","N5","[4.26,4.55)","[25.6,65.3]","[3.8,5.4)","[0,2.7)"
"518","Regular","Urbana","N5","[4.55,6.35]","[25.6,65.3]","[3.8,5.4)","[5,33.2]"
"519","Regular","Urbana","N5","[4.26,4.55)","[25.6,65.3]","[3.8,5.4)","[0,2.7)"
"520","Regular","Urbana","N6","[4.26,4.55)","[25.6,65.3]","[3.8,5.4)","[5,33.2]"
"521","Regular","Urbana","N5","[4.55,6.35]","[25.6,65.3]","[3.8,5.4)","[5,33.2]"
"522","Regular","Urbana","N5","[4.26,4.55)","[25.6,65.3]","[3.8,5.4)","[5,33.2]"
"523","Regular","Urbana","N5","[4.26,4.55)","[25.6,65.3]","[3.8,5.4)","[5,33.2]"
"524","Regular","Urbana","N6","[4.55,6.35]","[25.6,65.3]","[3.8,5.4)","[5,33.2]"
"525","Regular","Urbana","N6","[4.26,4.55)","[25.6,65.3]","[3.8,5.4)","[5,33.2]"
"526","Regular","Urbana","N6","[4.26,4.55)","[25.6,65.3]","[3.8,5.4)","[0,2.7)"
"527","Regular","Urbana","N4","[4.55,6.35]","[25.6,65.3]","[3.8,5.4)","[0,2.7)"
