ANO;ID;tipo;nota;TDI_EM;TDI_01;TDI_02;TDI_03;MHA_EM;MHA_01;MHA_02;MHA_03
2019;26033950;Privada;592,9348425;1,1;1,7;1,1;0,6;5,2;5,2;5,2;5,2
2019;26034280;Federal;494,0475;24,7;6,5;11,7;40,5;7,8;8;8;7,5
2019;26034298;Regular;486,250641;31,1;38,3;30,8;20,9;4,8;5,3;4,5;4,5
2019;26034336;EREM;494,5841667;18,8;30,8;12,2;7,5;9,5;9,5;9,5;9,5
2019;26034352;EREM;487,645;10,8;14,1;12,6;4,8;9,5;9,5;9,5;9,5
2019;26034441;Regular;473,3366228;30,3;43,5;30,7;17,6;4,5;4,5;4,5;4,5
2019;26035049;EREM;479,3688596;18,6;18,6;35,4;8,6;9,5;9,5;9,5;9,5
2019;26035120;EREM;490,5479323;8,8;11,3;6,8;8;9,5;9,5;9,5;9,5
2019;26035146;Regular;463,308125;42,8;55,2;39;30;4,3;4,4;4,3;4,3
2019;26035316;EREM;488,8796667;4,1;5,4;5,6;1;9,5;9,5;9,5;9,5
2019;26035340;Regular;473,7959459;32,2;34,7;35,7;23,5;4,6;5,3;4,4;4,5
2019;26035553;Regular;555,5294444;7,8;6,3;8,2;8,6;4,5;4,5;4,5;4,5
2019;26035561;Regular;480,1395833;35,7;41,6;38,8;26,5;4,4;4,9;4,2;4,1
2019;26035600;EREM;494,4571429;19,1;19,7;14,4;25;9,5;9,5;9,5;9,5
2019;26035979;Regular;467,9479167;18,4;17,3;21,6;17;4,4;4,5;4,5;4,5
2019;26036037;Regular;482,2844444;43,7;53,4;43,6;27,8;4,2;4,5;3,9;3,9
2019;26036045;Regular;478,1366279;32,2;36,3;41,7;18,7;5,3;5,3;5,3;5,3
2019;26036096;Federal;576,7042135;12,6;10,8;14,5;8,1;4,8;4,8;4,8;4,8
2019;26036118;EREM;472,8044521;24,8;28,7;40,6;7,8;9,5;9,5;9,5;9,5
2019;26037726;Regular;458,2858108;28,6;34,6;25,8;24,5;3,9;4,1;4,1;4
2019;26038536;EREM;475,1823529;11,8;11,7;15,8;7,2;8,7;9,5;9,5;9,5
2019;26039702;EREM;487,1218182;16,7;12,8;22,4;16,4;9,5;9,5;9,5;9,5
