cod_escola;tp_escola;tp_localizacao;idepe;p_em;nota_lp;nota_mt;nota_saep;in_internet;in_noturno;in_eja;qt_mat_bas;tx_mat_med_int;tx_mat_bas_fem;tx_mat_bas_branca;inse;mha_em;tdi_em
26095572;REGULAR;Urbana;3,94;0,95;4,29;3,95;4,12;1;1;1;193;0;0,507772021;0,082901554;4,2;4,9;40,6
26096072;REGULAR;Rural;4,72;0,94;4,45;5,59;5,02;1;1;1;206;0;0,59223301;0,077669903;3,84;4,4;48,6
26106957;SEMI_INTEGRAL;Urbana;4,39;0,96;4,61;4,54;4,58;1;1;1;471;0,66;0,522292994;0,220806794;4,67;9,5;18,4
26081849;SEMI_INTEGRAL;Urbana;3,75;0,93;4;4,03;4,02;1;1;1;872;0,67;0,51146789;0,292431193;4,09;9,5;34,1
26096030;SEMI_INTEGRAL;Urbana;4,85;0,98;4,66;5,22;4,94;1;1;1;901;0,62;0,536071032;0,039955605;4,06;8,6;26,9
26049562;SEMI_INTEGRAL;Urbana;3,62;0,93;3,98;3,82;3,9;1;1;0;512;0,74;0,5390625;0,142578125;4,07;8;36,2
26097117;SEMI_INTEGRAL;Urbana;4,7;0,93;5,13;4,99;5,06;1;0;0;404;1;0,566831683;0,400990099;4,31;9,5;16,8
26071924;SEMI_INTEGRAL;Urbana;4,81;0,87;5,34;5,67;5,51;1;1;1;513;0,71;0,512670565;0,210526316;4,28;9,9;39,8
26105837;SEMI_INTEGRAL;Urbana;4,42;0,98;4,64;4,38;4,51;1;1;1;871;0,63;0,494833525;0,180252583;3,86;8,7;22,3
26000024;SEMI_INTEGRAL;Urbana;4,96;0,99;5,1;4,88;4,99;1;1;1;740;0,64;0,563513514;0,125675676;4,03;9,5;21,6
26024730;SEMI_INTEGRAL;Urbana;4,21;0,99;4,42;4,09;4,26;1;0;0;422;0,98;0,535545024;0,1492891;4,4;9,5;30,3
26082861;SEMI_INTEGRAL;Urbana;3,84;0,96;4,14;3,86;4;1;1;1;416;0,73;0,557692308;0,266826923;3,55;8,7;26,3
26097982;SEMI_INTEGRAL;Urbana;4,68;0,96;4,44;5,32;4,88;1;1;1;528;0,55;0,513257576;0,28219697;4,03;7,5;20,7
